Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Problem_Type,Category
Digital Media,11.0,3.0,13.0,-69.0,53.0,321,False,24.0,True,['Apr'],24.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,7.0,1.0,14.0,On Track (Low Util),Arts & Music
Artificial Intelligence (AI),3.0,3.0,4.0,-8.0,2.0,108,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,50.0,On Track,College
Management,1.0,3.0,2.0,136.0,-13.0,42,True,22.0,False,,22.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,,2.0,2.0,0.0,0.0,Possible Placement Issue,College
Social Networking,1.0,4.0,1.0,271.0,-19.0,27,True,26.0,True,['Apr'],26.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,,3.0,,,,Supply Problem (No Util Data),Technology
Middle School English,86.0,2.0,103.0,-98.0,589.0,4631,False,13.0,True,['Apr'],6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,69.0,9.0,131.0,33.0,25.0,On Track (Low Util),Middle School
MCAT,4.0,3.0,4.0,-27.0,6.0,136,False,18.0,True,['Apr'],18.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,75.0,On Track,Test Prep
ESL/ELL,18.0,3.0,22.0,-85.0,110.0,682,False,19.0,False,,19.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,14.0,3.0,29.0,3.0,10.0,On Track (Low Util),Language
Python,7.0,2.0,8.0,-70.0,33.0,338,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,3.0,9.0,4.0,44.0,On Track (Low Util),College
Anatomy & Physiology,18.0,2.0,22.0,-90.0,114.0,1050,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,14.0,4.0,21.0,4.0,19.0,On Track (Low Util),College
Kindergarten Readiness,14.0,3.0,16.0,-81.0,76.0,525,False,18.0,True,['Apr'],15.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,11.0,3.0,17.0,4.0,24.0,On Track (Low Util),Elementary
Microsoft Excel,9.0,3.0,11.0,-68.0,44.0,308,False,21.0,True,['Apr'],21.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,6.0,3.0,10.0,4.0,40.0,On Track (Low Util),Technology
HSPT,4.0,4.0,5.0,-8.0,2.0,109,False,29.0,False,,29.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,9.0,1.0,16.0,12.0,75.0,On Track,Test Prep
AP US History,5.0,3.0,6.0,-43.0,15.0,175,False,20.0,True,['Apr'],19.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,5.0,3.0,7.0,2.0,29.0,On Track (Low Util),AP
Chess,2.0,2.0,3.0,-20.0,4.0,125,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,0.0,0.0,On Track (Low Util),Other
Spanish 3,10.0,3.0,12.0,-75.0,54.0,402,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,7.0,1.0,14.0,On Track (Low Util),Language
