Subject,2026-04,2026-04.1,2026-03,2026-03.1,2026-02,2026-02.1,2026-01,2026-01.1,2025-12,2025-12.1,2025-11,2025-11.1,2025-10,2025-10.1,2025-09,2025-09.1,2025-08,2025-08.1,2025-07,2025-07.1,2025-06,2025-06.1,2025-05,2025-05.1,2025-04,2025-04.1,2025-03,2025-03.1,2025-02,2025-02.1,2025-01,2025-01.1,2024-12,2024-12.1,2024-11,2024-11.1,2024-10,2024-10.1,2024-09,2024-09.1,2024-08,2024-08.1,2024-07,2024-07.1,2024-06,2024-06.1,2024-05,2024-05.1,2024-04,2024-04.1,2024-03,2024-03.1,2024-02,2024-02.1,2024-01,2024-01.1,2023-12,2023-12.1,2023-11,2023-11.1,2023-10,2023-10.1,2023-09,2023-09.1,2023-08,2023-08.1,2023-07,2023-07.1,2023-06,2023-06.1,2023-05,2023-05.1,2023-04,2023-04.1,2023-03,2023-03.1,2023-02,2023-02.1,2023-01,2023-01.1,2022-12,2022-12.1,2022-11,2022-11.1,2022-10,2022-10.1,2022-09,2022-09.1,2022-08,2022-08.1,2022-07,2022-07.1,2022-06,2022-06.1,2022-05,2022-05.1
Machine Learning,1,1,2,1,1,0,4,3,4,3,3,2,1,1,3,3,2,1,2,1,1,0,,,,,1,1,4,3,5,5,2,2,1,1,2,2,2,1,3,3,5,5,3,3,3,3,1,1,2,2,2,2,4,4,3,3,2,2,,,1,1,1,1,,,,,,,3,3,,,1,1,1,1,2,2,2,2,1,1,3,3,,,1,0,3,3,,
Microsoft Power BI,1,0,,,1,0,1,1,,,1,0,,,6,5,4,2,,,,,2,0,,,1,1,2,1,3,3,3,2,1,1,2,2,1,1,2,2,4,4,1,1,,,,,2,2,3,3,2,2,,,,,,,1,1,1,1,,,,,,,1,1,,,1,1,2,2,1,1,1,1,,,1,1,1,1,1,1,,,,
Nursing,1,0,11,4,1,1,4,1,8,5,2,2,2,2,8,7,4,1,,,6,1,,,2,1,2,2,1,1,8,5,3,3,2,2,3,3,3,3,5,5,4,3,2,0,5,4,6,3,2,0,3,3,2,2,,,2,1,4,4,1,1,3,1,3,3,4,2,2,1,4,4,1,1,2,2,1,1,,,4,4,1,0,1,1,1,1,2,2,1,1,5,5
Orton Gillingham,1,0,4,2,,,1,1,6,4,2,2,8,8,4,3,1,0,1,0,2,0,3,1,3,2,5,3,4,3,9,9,2,2,4,3,9,8,5,5,5,5,2,1,3,2,4,2,5,5,3,3,4,3,5,5,3,2,2,2,5,4,4,3,2,0,,,3,3,2,0,2,2,4,4,3,2,3,3,2,0,1,1,1,1,3,3,3,3,2,1,3,2,1,0
PC Basic Computer Skills,1,0,1,0,1,1,,,1,1,2,2,5,5,6,6,6,4,3,1,,,1,0,1,1,2,1,2,2,11,10,4,3,3,3,2,2,9,5,3,3,3,3,5,5,1,1,2,2,3,2,4,3,5,5,2,2,2,2,5,5,,,1,1,4,1,,,,,2,2,1,1,1,1,2,2,,,1,1,2,1,1,1,1,1,2,2,6,5,3,3
PRAXIS,1,0,1,1,1,0,4,2,,,1,1,4,3,4,3,5,4,2,2,6,2,4,1,2,1,2,1,3,3,6,6,4,4,4,4,5,4,3,3,2,2,4,2,6,2,2,1,,,4,4,4,4,5,5,3,3,4,4,5,5,7,6,6,5,5,5,9,6,,,3,2,3,3,7,6,4,3,3,2,3,3,4,4,2,2,4,4,3,3,8,5,2,2
PRAXIS Music,1,0,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,
Pathology,1,1,,,,,,,4,3,1,1,1,1,1,1,1,1,3,1,2,0,,,3,2,1,0,1,1,6,6,4,3,2,2,3,3,5,4,2,2,,,,,3,2,1,1,2,2,2,2,,,,,1,1,1,1,3,3,1,0,2,2,2,2,,,,,,,1,1,,,,,2,1,5,4,,,,,2,2,,,,
Pharmacology,1,0,7,3,,,6,3,7,3,1,1,2,2,5,4,4,3,,,4,1,,,4,3,5,4,3,3,11,9,5,4,4,4,4,4,4,3,7,6,,,1,0,6,4,5,3,5,3,5,5,1,1,,,,,2,2,5,4,1,0,5,5,3,2,3,3,,,,,2,2,1,1,,,4,4,1,1,,,1,1,5,4,3,3,2,2
Philosophy,1,1,2,2,2,0,6,0,1,1,2,2,5,3,5,4,3,3,3,1,5,2,1,0,,,4,1,2,1,12,11,5,5,5,4,4,3,9,9,5,4,3,3,4,4,1,0,1,1,,,,,2,2,3,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,1,1
Photoshop,1,1,2,0,1,1,3,1,3,1,3,3,5,3,6,6,11,8,2,1,3,1,2,2,3,3,3,3,4,4,3,2,4,2,,,1,1,1,1,3,1,2,1,1,1,3,2,2,2,1,1,3,2,2,2,1,1,1,1,1,0,2,2,2,2,,,,,1,1,2,2,,,1,1,,,,,1,1,,,2,2,4,3,1,1,3,2,1,0
Presentation Skills,1,0,,,,,4,3,8,4,10,9,1,1,6,6,5,5,9,3,5,3,3,2,4,3,7,5,8,7,12,9,10,10,11,8,5,5,12,11,10,8,4,4,3,3,10,9,2,1,5,5,8,8,9,8,4,3,2,2,6,6,4,3,3,2,1,1,1,1,3,2,2,2,,,2,2,1,1,,,2,2,3,2,3,3,1,1,7,7,6,3,3,3
Python,1,1,5,4,2,0,3,2,6,3,13,12,19,17,20,16,19,13,12,6,17,10,15,7,13,8,10,9,17,15,20,17,15,14,9,7,11,11,27,22,14,10,11,10,5,5,8,8,5,2,6,6,9,8,9,8,8,7,14,13,12,10,6,6,4,4,6,5,3,3,4,4,5,4,1,0,6,4,3,3,4,4,8,7,10,10,9,9,7,5,14,10,17,11,13,10
Relational Databases,1,0,4,2,2,1,6,5,2,2,6,4,5,5,4,4,4,1,2,0,,,2,0,1,1,2,2,5,5,5,4,4,4,,,6,6,6,5,3,2,5,5,3,3,1,1,,,3,3,2,2,4,3,2,2,3,3,1,1,1,1,1,1,,,1,1,2,2,1,1,,,1,1,,,1,1,,,4,4,3,3,,,1,1,2,0,,
Spanish 1,1,1,16,8,5,2,5,0,13,11,15,14,16,15,30,25,15,10,14,8,30,8,21,7,17,11,15,9,18,16,29,26,18,17,16,13,30,25,22,21,14,12,10,7,10,7,14,13,14,13,13,9,18,14,17,13,5,4,15,11,18,18,11,11,10,8,6,4,12,10,4,1,6,5,6,6,4,4,5,4,3,3,5,5,5,5,10,10,10,9,13,11,13,9,15,12
Structural Engineering,1,0,,,,,,,1,1,,,,,,,,,2,0,1,1,1,0,,,,,,,2,2,,,,,,,3,3,1,1,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,3,2,,,,,1,1,1,1,2,2,,,1,1,,,1,1
TExES™,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,1,1,,,1,1,,,1,1,,,1,0,,,,,2,2,,,,,1,1,,,2,2,1,1,1,1,,,,,1,0,4,3,2,2,,,2,1,,
Tableau,1,0,,,1,0,2,1,,,1,0,,,3,3,3,1,1,1,1,1,3,0,,,,,2,2,3,2,1,1,2,2,1,1,1,1,3,3,1,1,1,1,,,1,0,2,2,1,1,2,2,,,,,,,1,1,1,1,,,,,,,2,2,1,1,,,,,1,1,,,,,,,,,1,1,,,,
Technical Writing,1,0,5,3,4,1,4,0,22,10,12,7,10,9,2,2,5,5,,,4,1,1,1,1,1,6,4,13,12,42,38,14,12,7,5,18,17,17,16,8,8,13,10,22,17,9,7,2,2,3,3,5,5,5,5,4,4,3,3,3,2,2,1,1,1,,,1,1,,,2,2,1,1,1,1,1,1,,,1,1,2,2,2,2,3,3,6,4,5,3,4,2
Web Design,1,0,,,1,1,2,1,3,1,2,1,2,2,3,3,7,5,1,0,3,1,1,0,,,5,5,4,4,8,7,3,2,4,4,2,2,4,2,3,2,4,4,4,4,3,3,1,1,,,4,4,3,3,1,1,1,1,,,2,2,1,1,1,1,,,2,2,,,,,,,1,1,3,3,4,4,2,2,3,2,2,2,4,2,3,2,1,1
English Language Arts Substitute,,,,,1,1,,,1,0,3,3,1,1,2,1,54,22,82,31,60,21,5,3,,,53,46,75,66,153,142,93,87,75,68,94,83,101,88,61,44,44,25,50,29,62,42,50,44,64,57,71,60,79,60,43,21,78,51,68,60,40,34,39,29,15,11,33,25,18,13,21,18,18,17,22,20,14,12,13,11,18,16,17,16,41,37,25,20,48,33,51,38,38,27
Math Substitute,,,,,,,,,1,1,2,2,74,66,151,131,128,81,96,40,114,45,89,43,61,46,56,49,63,57,101,95,67,65,58,53,68,60,82,74,50,41,31,19,32,22,43,33,39,32,38,32,49,44,57,44,27,16,62,45,41,38,29,26,29,25,18,12,28,21,20,16,17,16,22,20,22,22,11,9,9,6,15,13,15,14,29,29,24,21,26,19,43,32,29,21
Social Studies Substitute,,,,,,,,,2,1,,,3,3,2,1,2,2,1,1,6,4,,,,,8,6,3,3,35,32,31,30,26,24,50,48,54,52,23,21,19,14,19,14,23,19,20,19,28,22,29,26,26,22,10,6,34,31,24,22,23,21,26,22,10,7,17,14,9,6,8,7,14,13,14,13,8,8,10,9,15,12,12,12,14,14,14,10,17,15,18,13,19,15
Fiction Writing,,,,,2,0,1,0,13,7,7,6,4,4,8,4,11,9,6,3,7,3,5,3,2,2,13,8,13,12,50,44,22,19,18,15,31,27,21,19,16,15,18,12,28,19,17,13,4,3,8,8,11,9,11,10,7,6,7,5,10,8,7,6,7,5,2,2,2,2,3,0,2,1,3,3,2,2,2,2,1,1,6,6,3,3,7,6,3,3,9,6,9,7,9,8
Grade 9 Math,,,11,7,3,0,6,2,6,4,15,15,25,25,27,22,33,23,20,8,28,12,24,13,12,11,28,24,31,30,50,46,34,33,31,29,30,27,46,40,36,32,28,19,25,21,27,22,11,9,21,16,20,19,17,15,11,10,14,13,13,13,10,9,12,9,8,8,9,9,2,2,8,6,7,7,9,8,5,4,3,3,6,6,13,13,10,10,4,3,10,8,14,7,9,6
College Math,,,1,1,3,1,1,1,2,1,8,8,9,8,11,10,8,7,13,7,9,4,11,5,12,11,25,20,22,22,41,36,25,24,19,18,22,20,49,43,28,24,21,17,15,13,17,14,9,7,11,9,21,21,14,12,14,12,17,15,19,18,14,13,17,15,15,11,12,8,8,6,8,7,12,11,16,13,13,12,13,13,13,11,16,16,12,12,6,6,13,12,14,9,18,12
Grade 11 Math,,,8,3,2,0,5,2,7,5,8,8,17,17,24,19,33,20,21,10,25,14,20,12,9,7,28,25,33,31,47,42,37,35,25,23,23,22,48,44,30,26,30,22,27,21,27,23,10,9,18,13,14,14,16,14,6,5,15,14,16,15,11,10,13,10,10,9,11,11,2,2,7,7,9,8,8,7,7,6,6,6,2,2,10,10,9,9,5,4,8,6,12,6,8,6
Science Substitute,,,,,,,,,,,3,3,4,4,2,2,,,1,0,3,1,2,1,1,1,3,2,4,4,42,38,19,16,27,24,35,32,46,44,22,20,15,12,18,13,13,11,20,17,24,19,33,28,26,23,11,6,29,23,20,17,17,16,16,12,8,6,15,12,8,6,9,8,11,10,9,9,5,5,6,6,11,10,10,9,13,13,11,9,14,10,14,9,13,9
Academic Coaching,,,6,1,2,0,13,5,5,3,6,5,5,3,11,8,16,14,9,8,8,4,4,2,7,6,22,17,26,24,44,39,27,26,18,18,24,22,29,26,16,13,18,14,15,11,17,12,8,7,14,10,14,12,12,11,4,2,7,5,19,17,8,7,11,7,5,4,8,6,6,6,4,4,6,5,5,4,1,1,3,3,4,4,6,6,3,3,2,2,10,8,8,6,4,3
Introduction to Fiction,,,,,,,,,,,,,1,1,4,2,4,4,3,0,2,1,5,1,1,1,15,9,15,15,44,40,24,21,15,13,24,24,20,18,21,17,21,11,35,23,24,17,3,3,2,2,5,5,5,5,2,2,3,3,2,2,3,2,3,3,,,,,,,,,,,1,1,2,1,,,,,,,1,1,,,1,1,6,5,5,4
Math 1,,,2,2,1,0,,,3,3,7,7,3,3,7,7,5,3,8,4,4,2,5,3,9,7,16,11,18,16,44,40,18,17,17,17,19,16,28,24,21,18,16,11,15,12,12,7,13,10,18,13,24,21,14,12,13,8,18,16,20,20,6,6,11,9,6,5,9,7,2,2,5,4,9,9,10,8,7,6,2,1,4,4,5,5,1,1,3,3,2,2,5,3,3,2
College Algebra,,,4,1,2,2,,,5,5,6,6,12,12,25,25,21,13,17,7,7,3,14,4,20,16,21,16,23,22,43,40,28,26,18,17,19,19,40,37,20,14,12,9,14,10,15,14,4,3,7,6,9,9,12,11,7,6,10,10,11,11,6,6,6,4,12,11,12,9,8,7,6,5,12,12,10,9,8,7,11,10,9,8,14,14,9,9,13,11,14,10,14,11,13,12
Spelling Bee,,,2,0,,,,,1,1,1,1,2,2,4,1,,,,,4,0,6,1,4,4,14,10,15,13,40,33,28,27,15,14,20,20,29,26,13,13,22,13,33,23,25,17,3,3,10,8,10,9,10,9,5,2,5,4,7,7,4,3,1,1,2,2,2,2,,,,,1,1,2,2,,,,,,,1,1,2,2,4,3,3,3,4,4,1,1
PSAT Mathematics,,,,,1,1,1,1,,,6,6,5,5,20,19,20,18,20,15,38,20,24,17,11,11,19,18,18,17,26,22,28,28,10,9,7,7,20,20,18,16,8,8,16,13,14,12,8,8,10,9,15,15,17,15,4,3,12,11,11,11,6,6,17,15,12,9,11,10,4,4,5,4,9,8,6,6,3,2,3,3,7,7,3,3,3,3,7,7,8,6,9,7,7,4
Elementary Statistics,,,2,1,1,0,2,1,7,5,3,2,4,4,5,4,12,7,5,2,7,1,10,4,4,3,17,11,18,18,27,23,19,18,14,14,31,30,36,33,21,16,26,18,13,9,15,12,6,6,8,7,10,10,14,14,8,6,6,5,7,7,5,5,6,4,4,3,5,5,2,2,2,2,2,2,3,3,,,2,1,2,2,2,2,4,4,1,1,5,4,4,1,5,3
GED Math,,,9,7,3,2,4,2,4,2,1,1,6,6,9,9,12,11,8,5,8,5,11,3,4,4,10,8,13,11,35,29,15,15,11,11,17,15,16,12,12,11,4,2,13,9,8,6,9,8,15,11,16,14,14,12,6,4,7,7,13,13,5,4,12,10,4,4,4,4,2,1,4,4,10,9,4,4,1,0,2,2,4,4,3,3,5,5,6,6,3,3,11,6,11,8
Math 2,,,1,1,1,0,,,2,2,6,6,6,6,6,5,4,3,5,2,4,2,5,3,9,7,14,10,17,17,34,31,9,9,15,15,13,10,24,20,15,12,17,13,14,12,9,7,10,7,14,10,23,21,10,8,8,4,13,12,9,9,5,5,7,5,5,4,8,6,1,1,3,3,4,4,3,2,2,1,1,1,2,2,3,3,,,1,1,2,2,3,2,2,1
ACT Math,,,4,4,1,1,2,1,1,0,5,5,17,16,21,19,12,8,12,9,16,8,9,4,7,7,12,10,16,16,33,31,19,19,14,12,12,12,27,25,13,11,2,2,11,10,16,13,6,6,11,10,16,16,21,16,8,6,13,13,21,19,14,13,18,17,19,15,16,14,5,4,8,8,15,14,8,8,5,4,3,3,9,8,5,5,8,8,11,10,10,8,13,11,11,8
Spanish 2,,,6,1,4,1,,,11,10,14,13,17,15,25,20,14,11,12,6,26,6,16,5,15,11,15,9,17,15,31,27,18,17,15,12,28,23,22,21,16,14,10,7,13,9,15,14,15,14,10,7,20,16,18,13,5,3,16,11,18,18,14,14,10,7,5,4,13,11,5,1,5,4,7,7,5,5,4,3,2,2,5,5,6,6,9,9,9,8,12,10,14,9,15,12
Spanish 3,,,3,0,4,1,1,0,10,9,13,12,15,13,22,17,13,10,10,6,24,6,14,4,14,10,13,8,16,14,26,23,17,16,15,12,28,23,20,19,15,13,10,7,11,8,12,11,10,9,8,5,16,13,16,11,3,2,11,8,16,16,13,13,9,7,5,4,10,9,3,1,5,4,7,7,5,5,3,3,2,2,5,5,4,4,10,10,9,8,12,10,14,9,14,11
Spanish 4,,,1,0,3,1,,,8,8,13,12,13,11,20,16,12,9,10,6,23,5,13,4,11,8,11,8,15,13,26,22,16,15,14,11,28,23,19,18,13,11,9,6,10,7,12,11,9,8,9,6,15,13,16,11,2,1,11,8,14,14,12,12,10,8,5,4,10,9,2,0,5,4,6,6,5,5,4,3,2,2,5,5,4,4,10,10,9,8,12,10,12,9,14,11
Probability,,,1,0,1,0,,,2,1,2,2,3,3,1,1,2,1,5,3,2,1,2,1,4,3,15,12,16,15,22,20,19,17,12,12,26,25,27,25,20,19,21,15,17,14,9,8,,,3,2,6,6,5,5,2,2,3,1,5,3,2,2,4,4,4,4,2,2,2,2,2,1,,,,,1,1,2,1,3,3,2,2,5,5,5,3,3,2,3,2,5,3
Molecular Biology,,,,,,,,,1,1,1,1,1,1,7,7,3,3,3,2,3,1,2,0,7,4,6,5,13,12,25,23,10,10,3,3,17,17,13,12,9,7,8,7,8,7,9,5,4,4,6,5,5,5,3,3,,,4,2,2,2,5,5,3,3,1,0,4,4,3,3,2,1,3,3,3,3,1,1,1,1,1,0,5,4,2,1,3,1,4,2,6,3,,
Poetry,,,,,,,3,0,8,2,11,11,9,5,9,5,14,8,5,2,3,1,3,2,,,7,4,5,5,25,23,7,6,7,6,11,11,8,8,12,10,5,4,17,14,11,7,4,3,3,3,6,6,7,5,2,2,3,3,4,2,5,4,5,4,,,1,1,2,0,,,,,1,1,1,0,,,3,3,,,2,2,1,0,2,2,3,3,3,3
CogAT,,,,,,,,,,,,,2,1,,,1,0,2,0,1,1,,,,,1,1,,,,,1,1,,,3,3,1,1,1,1,4,3,5,4,2,0,,,3,2,2,2,1,1,4,3,25,20,16,14,8,7,23,20,8,5,6,4,,,1,1,,,2,2,,,,,,,1,1,1,1,1,1,,,1,1,,
High School Level American Literature,,,,,,,2,0,7,5,3,3,5,5,2,1,9,8,1,0,2,1,5,1,2,1,7,4,14,13,24,23,16,12,10,7,11,11,16,14,13,11,7,6,16,11,11,8,9,9,6,6,5,4,13,11,3,2,6,6,7,6,3,3,7,7,2,2,5,4,1,1,5,4,2,2,3,3,2,2,4,4,4,4,2,2,5,3,3,3,8,5,12,7,7,5
Math 3,,,,,,,,,2,2,5,5,2,2,2,2,4,2,4,2,5,1,3,1,5,4,11,9,16,16,24,21,7,7,8,8,8,7,21,17,13,12,16,13,14,11,9,7,10,7,16,11,20,19,11,8,9,6,19,16,10,9,7,6,9,7,6,4,8,6,2,2,4,4,6,5,9,7,5,4,1,1,,,3,3,,,2,2,1,1,5,3,2,1
World Civilization,,,,,,,,,,,,,3,2,3,2,4,3,1,1,4,2,2,1,,,7,5,10,10,23,22,12,10,10,9,8,7,13,12,11,9,8,5,14,11,14,8,3,3,4,3,4,4,5,2,,,3,2,1,1,2,1,5,4,,,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,1,0,3,3,1,1,2,2,1,1
GED Social Studies,,,4,3,2,2,3,2,3,2,1,1,4,4,7,6,6,5,3,0,8,4,8,3,3,3,9,6,8,6,22,19,10,10,4,4,14,13,14,12,4,3,3,1,8,7,8,5,7,5,11,9,8,5,4,3,4,3,3,3,8,8,3,2,7,5,2,2,2,2,1,1,4,4,5,5,1,1,3,2,1,1,2,2,1,1,3,1,2,2,2,2,1,0,6,5
General Chemistry 2,,,,,2,0,,,2,2,3,3,4,3,12,10,12,8,4,3,8,4,8,5,5,3,7,6,7,7,22,20,10,10,7,7,13,12,17,16,8,5,8,8,15,9,11,8,6,6,6,4,8,8,3,2,3,3,5,4,6,6,8,8,7,6,3,2,5,3,1,1,2,2,1,1,2,2,2,2,,,2,1,2,2,3,3,3,3,7,5,5,4,2,2
Sociology,,,1,1,,,2,2,,,3,3,7,6,8,6,1,1,1,0,2,0,1,1,2,1,2,1,9,9,21,20,5,4,5,5,8,8,8,7,6,6,5,4,4,3,3,3,3,3,9,8,5,4,7,4,2,1,5,3,7,7,6,5,5,3,4,2,1,1,1,1,2,2,1,1,4,3,,,3,1,,,2,2,,,2,2,4,2,2,2,3,2
Linear Algebra,,,3,2,,,3,3,7,5,6,6,10,10,11,9,16,11,10,7,9,7,8,3,11,9,20,16,9,9,17,15,18,18,6,6,14,14,15,12,7,6,11,8,4,3,5,4,5,4,1,1,5,5,7,6,4,3,4,4,7,7,3,3,2,2,2,2,5,5,1,1,2,1,3,2,4,3,2,2,2,2,3,3,5,5,5,5,5,4,9,7,6,2,8,6
Grade 12 Chemistry,,,1,1,,,,,,,1,1,1,1,7,6,2,2,5,5,4,2,5,3,4,3,5,3,5,5,20,19,12,11,4,4,9,8,17,15,8,5,5,5,11,7,8,7,3,3,5,2,6,6,4,3,2,2,2,2,4,4,4,4,5,4,1,1,4,4,2,2,1,1,3,3,1,1,3,3,,,,,4,4,,,3,3,6,4,6,3,3,3
Applied Mathematics,,,,,2,0,3,2,3,2,4,4,3,3,5,5,5,3,6,4,5,2,6,4,3,2,14,11,10,10,13,10,15,15,15,15,19,19,19,15,16,13,20,14,14,12,8,6,3,2,2,1,7,6,2,2,3,3,3,3,6,6,6,5,7,6,3,3,2,2,2,2,2,2,3,2,2,1,3,3,2,2,4,4,5,5,4,4,1,1,3,3,5,4,2,0
Microsoft Word,,,3,2,1,0,7,2,10,1,6,4,9,9,9,7,11,9,6,4,10,5,8,3,4,3,9,7,9,8,16,15,11,8,3,2,10,10,4,1,10,7,9,8,3,3,6,5,11,8,7,6,20,20,8,7,7,4,4,4,16,16,7,6,6,6,3,2,6,5,2,1,3,2,3,3,3,2,1,1,1,1,3,3,3,2,5,4,5,5,4,4,5,4,2,0
Foundations for College Mathematics,,,,,,,,,,,,,1,1,2,2,4,2,1,0,2,2,,,2,2,10,7,11,11,19,17,12,12,7,7,8,7,17,14,8,7,12,10,5,3,7,5,2,2,2,1,3,3,3,3,3,2,5,5,2,2,1,1,3,2,1,1,1,1,,,,,1,1,1,1,2,1,1,1,1,1,1,1,3,3,1,1,3,2,2,2,1,0
Functions,,,1,0,,,,,1,1,,,2,2,2,2,1,0,,,2,2,,,,,8,6,12,11,14,12,11,11,7,7,12,12,12,12,13,12,19,16,7,6,5,5,,,1,0,3,3,1,1,,,,,1,1,,,,,1,1,2,2,,,,,,,1,1,,,1,1,2,2,3,3,1,1,2,2,2,2,3,1,2,1
Handwriting,,,6,2,1,0,12,5,17,9,3,2,10,10,18,11,4,3,2,1,2,0,3,2,2,2,9,5,4,3,12,11,4,4,4,4,8,8,6,3,5,5,2,2,3,2,8,5,9,9,8,7,10,10,12,11,10,6,6,6,12,11,7,7,6,6,,,2,1,1,0,,,,,2,2,1,1,1,1,1,1,2,2,1,1,3,2,1,0,2,2,2,2
Grade 11 Physics,,,,,,,1,0,1,0,7,7,5,5,4,4,8,5,7,2,10,5,5,3,4,1,5,4,3,3,18,16,7,6,6,6,5,5,6,6,10,9,9,7,6,5,9,8,2,2,6,5,4,4,4,3,2,1,3,3,2,2,3,3,5,3,1,1,2,2,2,2,,,5,5,2,1,2,2,3,3,1,1,6,6,2,2,7,5,5,4,1,0,3,3
Differential Calculus,,,,,,,,,,,1,1,,,1,1,3,1,5,3,,,4,1,,,9,7,4,4,16,14,8,8,6,6,4,4,18,17,4,4,9,8,7,6,3,2,2,1,2,1,2,2,,,3,3,4,3,1,1,,,2,2,2,2,6,5,1,1,,,2,1,1,0,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1
Special Education,,,4,3,4,2,3,1,5,2,7,4,7,7,9,7,1,0,5,1,8,2,8,4,2,1,8,5,10,7,14,12,13,12,10,10,15,13,9,6,10,9,13,7,9,6,9,5,10,9,10,9,11,9,14,14,8,7,9,7,9,8,11,11,8,3,2,2,12,11,6,4,7,4,6,5,18,13,10,10,6,3,9,9,8,7,15,15,15,14,18,14,16,10,11,9
High School Economics,,,3,2,4,2,3,2,4,3,3,3,8,8,2,2,3,1,14,7,9,5,17,7,2,2,13,11,17,16,14,13,8,7,4,4,12,11,8,8,6,6,7,5,6,5,3,3,5,5,4,4,3,2,8,8,6,4,3,3,4,4,1,0,7,4,4,1,5,5,6,4,4,4,5,5,10,9,2,2,1,1,1,1,4,4,1,1,3,3,9,5,5,5,5,4
Chemistry 2,,,,,2,0,,,,,3,3,7,6,8,6,8,5,5,4,7,4,4,4,2,1,3,3,4,4,17,14,7,7,5,4,13,12,13,12,9,7,5,5,14,9,10,8,5,4,7,5,11,11,3,2,1,1,4,4,4,4,8,8,7,6,5,4,6,3,1,1,2,2,1,1,,,1,1,,,1,0,4,4,5,5,3,3,9,7,4,3,4,3
Developmental Biology,,,,,,,,,,,,,,,3,3,1,1,2,0,2,1,2,0,3,1,1,1,6,6,17,15,5,5,2,2,12,12,13,12,7,5,5,4,8,7,7,5,1,1,3,2,1,1,3,3,3,2,1,0,1,1,1,1,2,2,1,0,1,1,3,3,1,1,2,2,4,4,,,1,0,,,2,2,3,3,2,0,3,1,3,2,1,1
Grade 12 Physics,,,,,,,,,1,0,6,6,5,5,5,5,3,2,6,2,12,8,2,1,3,1,5,4,4,4,17,15,7,6,5,5,6,6,7,5,11,10,7,5,4,4,8,7,1,1,5,5,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,,,5,5,2,1,1,1,2,2,1,1,5,5,2,2,4,3,5,4,1,0,2,2
Nutrition,,,,,,,2,1,1,1,2,2,4,3,3,2,,,1,1,1,0,1,0,5,5,4,2,9,9,17,14,10,9,3,3,6,6,6,5,6,5,4,4,9,8,5,2,4,3,3,3,5,5,3,2,2,2,1,0,4,4,3,2,1,1,1,1,1,1,1,1,,,,,1,0,1,0,,,2,2,1,1,,,1,1,2,2,2,1,1,0
US Constitutional History,,,1,1,,,,,4,2,1,1,2,2,2,2,5,4,4,2,3,1,2,1,,,9,8,13,12,17,16,9,8,9,8,12,11,15,13,5,4,6,4,12,8,10,6,,,2,2,4,4,6,5,,,1,1,3,3,2,1,4,3,2,2,1,1,1,0,2,2,,,1,1,1,0,,,,,,,3,0,1,1,3,1,5,3,5,4
World Literature,,,,,1,0,,,1,1,2,2,1,1,3,1,9,8,3,2,3,1,3,2,1,1,8,5,5,5,17,14,8,6,7,5,10,10,10,9,10,10,4,3,14,10,7,4,4,4,5,4,8,8,5,4,3,3,3,2,2,1,3,2,8,7,2,2,1,0,1,0,2,1,2,2,2,2,1,0,,,,,,,2,2,1,1,3,2,6,5,6,5
Calculus 3,,,1,1,,,,,3,2,2,2,11,11,10,9,7,6,9,6,9,5,8,4,3,3,9,7,12,12,15,15,14,13,7,7,14,14,17,16,5,4,7,7,6,4,5,5,2,1,1,1,2,2,2,1,2,2,5,4,3,3,1,0,4,2,5,5,4,4,2,2,,,4,3,3,2,3,3,2,2,2,1,6,6,3,3,8,7,6,3,8,6,12,10
Finite Mathematics,,,1,1,,,,,1,1,3,3,,,4,4,2,2,,,1,0,1,0,3,2,5,4,6,6,8,7,9,8,5,5,10,10,10,10,11,8,17,12,10,7,6,6,,,,,4,4,1,1,,,2,1,1,1,,,3,3,2,2,3,2,,,,,1,0,,,1,1,,,2,2,2,2,2,2,1,1,3,1,3,3,,
AP Computer Science Principles,,,2,1,,,1,1,3,3,5,5,3,3,9,6,9,9,5,3,5,3,5,2,3,2,8,7,6,5,16,15,8,6,3,2,10,9,14,11,6,5,7,7,6,5,3,3,1,1,2,2,4,4,7,7,1,1,4,4,5,5,1,1,3,2,2,2,4,2,2,2,,,1,1,1,0,,,,,3,3,1,1,3,3,,,3,1,3,3,2,2
Classics,,,,,,,,,,,2,2,1,0,1,1,2,2,1,1,3,1,,,,,2,1,2,2,16,14,7,5,4,3,8,7,7,5,8,8,4,4,10,9,4,2,,,,,,,3,2,1,1,1,1,1,0,,,1,1,,,,,,,,,,,1,1,,,,,,,1,1,,,,,1,1,,,2,2
