Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P25_NAT_Hours,Median_NAT_Hours,P75_NAT_Hours,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Median_Goal,Tail_Ratio,IQR_Hours,Wait_State,Primary_Action,Stress_Flags,Problem_Type
ASVAB,2.0,3,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,,,,,,,0.0,3.0,64.0,51.0,0.0,0.0,81.0,down,-81.0,1.0,0.0,0.0,0.0,0.0,0.20833,0.51666,2.224995,10.589994,57.556455391340556,Test Prep,LOW,60,12,20.5,2.02,Healthy,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
Piano,6.0,2,7.0,-71.0,30.0,350,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,167.0,117.0,0.0,0.0,71.8,down,-71.8,4.0,0.0,0.0,20.0,1.0,0.391665,5.06666,25.191665,40.406666,38.57544998878169,Arts & Music,LOW,60,12,7.98,24.8,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
AP World History,8.0,2,10.0,-70.0,39.0,329,False,17.0,True,['Apr'],16.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,,,,,,,3.0,2.0,260.0,188.0,100.0,100.0,71.8,up,28.2,5.0,5.0,0.0,3.0,3.0,0.45,4.63333,19.25,25.15,46.3928833383519,AP,LOW,60,12,5.43,18.8,Healthy,On Track,['idle_pool'],On Track
Microeconomics,4.0,2,5.0,-57.0,16.0,233,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,1.0,2.0,164.0,126.0,67.0,66.7,77.0,down,-10.4,3.0,2.0,0.0,1.0,1.0,0.67916,4.34166,17.32916,26.468327,48.66256662892434,College,LOW,60,12,6.1,16.65,Healthy,On Track,['idle_pool'],On Track
French 2,5.0,3,6.0,-49.0,17.0,194,False,18.0,False,,18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,,,,,,,,1.0,1.0,189.0,148.0,33.0,33.3,79.0,down,-45.7,3.0,1.0,1.0,0.0,0.0,0.19583,0.51666,3.354165,10.063329,43.97749707627119,Language,LOW,60,12,19.48,3.16,Healthy,On Track,['idle_pool'],On Track
Linear Algebra,7.0,2,8.0,-65.0,32.0,288,False,17.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,3.0,3.0,320.0,268.0,67.0,66.7,83.9,down,-17.2,3.0,2.0,0.0,4.0,2.0,0.43333,5.41666,26.2,36.079996,46.83618663233634,College,LOW,60,12,6.66,25.77,Healthy,On Track,['idle_pool'],On Track
Psychology,19.0,2,23.0,-89.0,119.0,950,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,382.0,272.0,20.0,20.0,74.8,down,-54.8,25.0,5.0,7.0,99.0,19.0,0.041665,0.1,0.18333,0.226662,42.40917684248555,College,LOW,60,12,2.27,0.14,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
English Grammar and Syntax,62.0,3,74.0,-96.0,416.0,2411,False,18.0,True,['Apr'],19.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,,,,,,,,2.0,1254.0,927.0,36.0,36.0,74.7,down,-38.7,25.0,9.0,2.0,36.0,7.0,0.11666,1.0,14.66666,17.313328,44.47627895456806,High School,LOW,60,12,17.31,14.55,Healthy,On Track,['idle_pool'],On Track
Competition Math,3.0,3,4.0,-14.0,3.0,117,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,,2.0,163.0,138.0,0.0,0.0,85.7,down,-85.7,2.0,0.0,0.0,1.0,1.0,6.71666,24.0,78.816665,93.79333,53.62673318899643,High School,LOW,60,12,3.91,72.1,Crisis,Investigate — Wait Times,"['new_tutor_stuck', 'high_wait']",On Track — High Wait
Mechanical Engineering,4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,,,,,,,1.0,5.0,153.0,126.0,33.0,33.3,83.3,down,-50.0,3.0,1.0,,,,2.76666,12.21666,45.25,70.13333,42.03999945102075,College,LOW,60,12,5.74,42.48,Crisis,Investigate — Wait Times,['idle_pool'],On Track — High Wait
AP English Literature and Composition,14.0,3,17.0,-82.0,80.0,544,False,18.0,False,,18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,1.0,203.0,147.0,100.0,100.0,72.0,up,28.0,3.0,3.0,1.0,51.0,9.0,0.066665,4.541665,5.129165,19.431661,44.25944349083024,AP,LOW,60,12,4.28,5.06,Healthy,On Track,['idle_pool'],On Track
Physics 2,3.0,3,4.0,-10.0,2.0,111,False,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,1.0,1.0,160.0,130.0,100.0,100.0,81.1,up,18.9,1.0,1.0,0.0,0.0,0.0,0.25833,5.31666,39.3,52.15,44.90650206950409,College,LOW,60,12,9.81,39.04,Healthy,On Track,['idle_pool'],On Track
College and University Admissions,19.0,2,23.0,-89.0,119.0,950,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,311.0,249.0,25.0,25.0,83.1,down,-58.1,16.0,4.0,3.0,10.0,2.0,2.41666,5.06666,71.875,143.53333,39.6707356882319,College,LOW,60,12,28.33,69.46,Tail_Risk,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck', 'critical_wait']",On Track — High Wait
AP Microeconomics,4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,2.0,2.0,1.0,2.0,3.0,5.0,6.0,2.0,2.0,1.0,2.0,4.0,6.0,4.0,2.0,,,,,,,,2.0,110.0,87.0,50.0,50.0,80.2,down,-30.2,4.0,2.0,,,,0.76666,4.5,18.7,22.0,49.108500683333325,AP,LOW,60,12,4.89,17.93,Healthy,On Track,['idle_pool'],On Track
C++,2.0,2,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,152.0,128.0,0.0,0.0,84.8,down,-84.8,1.0,0.0,,,,3.55833,24.0,24.0,24.0,40.37178931080879,College,LOW,60,12,1.0,20.44,Crisis,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Pharmacology,8.0,2,10.0,-75.0,42.0,400,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,147.0,111.0,33.0,33.3,78.3,down,-44.9,9.0,3.0,2.0,28.0,19.0,4.43333,5.2,24.0,24.0,41.190168132911396,College,LOW,60,12,4.62,19.57,Healthy,On Track,['idle_pool'],On Track
French 3,4.0,3,5.0,-14.0,4.0,117,False,24.0,False,,24.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,,,,,,,,1.0,1.0,149.0,120.0,50.0,50.0,81.0,down,-31.0,2.0,1.0,0.0,0.0,0.0,0.05833,0.06666,0.074995,0.079996,44.88150780370072,Language,LOW,60,12,1.2,0.02,Healthy,On Track,['idle_pool'],On Track
Math 2,3.0,4,4.0,29.0,-6.0,78,True,27.0,True,['Apr'],26.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,3.0,,,,,,,,2.0,370.0,307.0,50.0,50.0,83.2,down,-33.2,2.0,1.0,0.0,0.0,0.0,4.63333,4.91666,17.99166,62.12333,46.50653044221842,High School,LOW,60,12,12.64,13.36,Tail_Risk,Recruit More,"['idle_pool', 'paper_supply']",True Supply Problem
Multivariable Calculus,2.0,3,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,0.0,2.0,150.0,129.0,0.0,0.0,86.0,down,-86.0,0.0,0.0,0.0,13.0,6.0,9.5333275,22.16666,24.0,26.405,51.64634510517799,College,LOW,60,12,1.19,14.47,Crisis,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
JavaScript,4.0,2,5.0,-50.0,14.0,200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,161.0,126.0,50.0,50.0,78.6,down,-28.6,2.0,1.0,0.0,0.0,0.0,9.53333,9.53333,17.81666,21.546662,40.558577791188895,College,LOW,60,12,2.26,8.28,Healthy,On Track,['idle_pool'],On Track
AP Computer Science Principles,4.0,2,5.0,-43.0,12.0,175,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,2.0,3.0,190.0,160.0,50.0,50.0,84.6,down,-34.6,2.0,1.0,0.0,0.0,0.0,1.316665,5.93333,21.34166,27.70666,43.501293240213826,AP,LOW,60,12,4.67,20.02,Healthy,On Track,['idle_pool'],On Track
Corporate Finance,2.0,2,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,76.0,59.0,0.0,0.0,79.7,down,-79.7,2.0,0.0,0.0,0.0,0.0,0.874995,4.03333,14.474995,35.51666,54.24656919431279,College,LOW,60,12,8.81,13.6,Healthy,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
Vietnamese,1.0,4,1.0,257.0,-18.0,28,True,25.0,False,,25.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,6.0,4.0,,,,,,,,0.0,1.0,16.0,15.0,0.0,0.0,93.8,down,-93.8,0.0,0.0,,,,0.124995,0.21666,0.81666,1.17666,40.08241670329671,Language,LOW,60,12,5.43,0.69,Healthy,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Cyber Security,7.0,2,8.0,-71.0,35.0,350,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,76.0,50.0,12.0,12.5,72.1,down,-59.6,8.0,1.0,1.0,1.0,0.0,0.15833,0.2,5.50833,8.693328,33.0047860997547,College,LOW,60,12,43.47,5.35,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
BCABA,2.0,2,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,14.0,7.0,0.0,0.0,53.8,down,-53.8,1.0,0.0,1.0,0.0,0.0,0.05,0.05,0.05,0.05,46.46489448818897,Professional/Cert,LOW,60,12,1.0,0.0,Insufficient_Data,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
IB Biology,3.0,2,4.0,-33.0,7.0,150,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,137.0,110.0,50.0,50.0,80.7,down,-30.7,2.0,1.0,1.0,18.0,11.0,1.0,3.76666,8.58333,16.46333,43.60527280844156,IB,LOW,60,12,4.37,7.58,Healthy,On Track,['idle_pool'],On Track
Electrical and Computer Engineering,1.0,2,1.0,143.0,-10.0,41,True,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,1.0,1.0,71.0,59.0,50.0,50.0,84.1,down,-34.1,2.0,1.0,1.0,0.0,0.0,2.8,15.7,24.0,69.39333,33.70702777129521,College,LOW,60,12,4.42,21.2,Crisis,Recruit More,"['idle_pool', 'paper_supply']",True Supply Problem
Statics and Dynamics,2.0,2,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,78.0,63.0,0.0,0.0,80.8,down,-80.8,0.0,0.0,0.0,0.0,0.0,14.17916,23.98333,26.51666,69.161663,41.88546846882399,College,LOW,60,12,2.88,12.34,Crisis,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck']",On Track — High Wait
Applied Mathematics,5.0,2,6.0,-54.0,19.0,219,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,2.0,291.0,244.0,0.0,0.0,84.4,down,-84.4,2.0,0.0,,,,5.55,13.1,19.354165,20.11666,52.84575359836581,College,LOW,60,12,1.54,13.8,Crisis,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Robotics,1.0,2,1.0,129.0,-9.0,44,True,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,0.0,1.0,54.0,46.0,0.0,0.0,85.2,down,-85.2,0.0,0.0,,,,3.0999975,5.96666,38.67916,136.66666,46.360812703804335,Technology,LOW,60,12,22.91,35.58,Tail_Risk,Recruit More,"['idle_pool', 'new_tutor_stuck', 'critical_wait', 'paper_supply']",True Supply Problem
Business Analytics,3.0,2,4.0,-19.0,4.0,124,False,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,2.0,3.0,143.0,115.0,25.0,25.0,82.0,down,-57.0,4.0,1.0,1.0,145.0,26.0,3.29166,24.01666,27.174995,36.13333,45.185790363975734,College,LOW,60,12,1.5,23.88,Crisis,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
PTCE,1.0,2,1.0,100.0,-7.0,50,True,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,9.0,8.0,0.0,0.0,88.9,down,-88.9,0.0,0.0,,,,0.2874975,0.441665,0.5958325,0.688333,51.75669390581717,Professional/Cert,LOW,60,12,1.56,0.31,Healthy,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
Filmmaking,2.0,2,2.0,7.0,-1.0,93,False,15.0,False,,15.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,,,,,,,,2.0,1.0,47.0,31.0,12.0,12.5,76.9,down,-64.4,8.0,1.0,4.0,2.0,1.0,0.28333,0.28333,0.28333,0.28333,45.18142082405345,Arts & Music,LOW,60,12,1.0,0.0,Insufficient_Data,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Mac Basic Computer Skills,5.0,2,6.0,-60.0,21.0,250,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,2.0,88.0,74.0,20.0,20.0,88.0,down,-68.0,5.0,1.0,0.0,1.0,1.0,0.2874975,1.816665,4.8583275,7.88166,39.34509188882586,Technology,LOW,60,12,4.34,4.57,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Cost Accounting,2.0,3,2.0,57.0,-8.0,64,True,22.0,True,['Apr'],22.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,,,,,,,0.0,1.0,70.0,55.0,0.0,0.0,79.7,down,-79.7,1.0,0.0,,,,3.537495,4.35833,5.179165,5.671666,45.788908434571326,College,LOW,60,12,1.3,1.64,Healthy,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
PC Basic Computer Skills,5.0,2,6.0,-66.0,23.0,292,False,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,2.0,121.0,100.0,33.0,33.3,83.9,down,-50.6,3.0,1.0,1.0,6.0,3.0,4.55,4.55,4.55,4.55,43.8398207948718,Technology,LOW,60,12,1.0,0.0,Insufficient_Data,On Track,['idle_pool'],On Track
Technical Writing,24.0,2,29.0,-92.0,154.0,1200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,297.0,235.0,40.0,40.0,80.5,down,-40.5,10.0,4.0,1.0,1.0,1.0,0.35,0.76666,5.175,24.0,44.48100143662484,College,LOW,60,12,31.3,4.83,Healthy,On Track,['idle_pool'],On Track
Music Recording,1.0,2,1.0,71.0,-5.0,58,True,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,2.0,46.0,30.0,0.0,0.0,65.2,down,-65.2,0.0,0.0,,,,0.8708325,2.374995,63.3791625,83.48333,30.719192819148937,Arts & Music,LOW,60,12,35.15,62.51,Tail_Risk,Recruit More,"['idle_pool', 'new_tutor_stuck', 'paper_supply']",True Supply Problem
Probability,2.0,2,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,299.0,255.0,0.0,0.0,85.9,down,-85.9,2.0,0.0,0.0,14.0,7.0,5.58333,7.85,18.66666,24.75666,49.31982574761748,College,LOW,60,12,3.15,13.08,Healthy,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Linguistics,2.0,3,2.0,29.0,-4.0,78,True,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,0.0,1.0,163.0,121.0,0.0,0.0,74.7,down,-74.7,1.0,0.0,1.0,1.0,0.0,,,,,42.2175197752809,College,LOW,60,12,,,Unknown,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Structural Engineering,1.0,2,1.0,129.0,-9.0,44,True,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,,,,,,,,0.0,1.0,23.0,18.0,0.0,0.0,81.8,down,-81.8,1.0,0.0,1.0,0.0,0.0,,,,,42.94812630890052,College,LOW,60,12,,,Unknown,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Rhino,1.0,1,1.0,43.0,-3.0,70,True,10.0,False,,10.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,1.0,21.0,17.0,67.0,66.7,83.3,down,-16.7,3.0,2.0,,,,0.43333,1.85,1.85,56.769998,26.92849087837837,Technology,LOW,60,12,30.69,1.42,Healthy,Investigate — Capacity Available,['idle_pool'],Under-Used
College Level American History,2.0,3,2.0,43.0,-6.0,70,True,20.0,False,,20.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,,,,,,,,,1.0,91.0,70.0,0.0,0.0,76.9,down,-76.9,0.0,0.0,,,,0.58333,0.58333,0.58333,0.58333,51.243622942643384,College,LOW,60,12,1.0,0.0,Insufficient_Data,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
Clinical Psychology,3.0,2,4.0,-24.0,5.0,131,False,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,1.0,78.0,59.0,0.0,0.0,75.6,down,-75.6,0.0,0.0,,,,0.2,0.2,0.2,0.2,42.48419140416444,College,LOW,60,12,1.0,0.0,Insufficient_Data,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Conversational Spanish,18.0,10,22.0,-45.0,57.0,183,False,69.0,True,['Apr'],47.0,1.0,0.0,2.0,5.0,10.0,14.0,15.0,23.0,5.0,2.0,5.0,9.0,13.0,14.0,23.0,,,,,,,16.0,5.0,527.0,390.0,32.0,32.0,76.1,down,-44.1,25.0,8.0,2.0,7.0,3.0,0.21666,0.61666,5.11666,18.46666,44.17317912510936,Language,MEDIUM,48,12,29.95,4.9,Healthy,On Track,['idle_pool'],On Track
NCLEX,7.0,1,8.0,-98.0,48.0,4900,False,1.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,2.0,89.0,60.0,80.0,80.0,66.7,up,13.3,5.0,4.0,0.0,0.0,0.0,0.15,1.03333,4.53333,17.18333,44.08646292307692,Professional/Cert,NICHE,72,12,16.63,4.38,Healthy,On Track,['idle_pool'],On Track
Japanese,1.0,3,1.0,171.0,-12.0,37,True,19.0,False,,19.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,1.0,4.0,5.0,4.0,,,,,,,,1.0,2.0,68.0,47.0,0.0,0.0,71.2,down,-71.2,2.0,0.0,1.0,0.0,0.0,0.174995,0.33333,1.06666,11.4,43.77063204092623,Language,LOW,60,12,34.2,0.89,Healthy,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Orton Gillingham,4.0,1,5.0,-82.0,23.0,560,False,5.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,2.0,155.0,119.0,40.0,40.0,78.0,down,-38.0,5.0,2.0,1.0,0.0,0.0,0.525,4.2,14.72083,24.704997,51.7209560666138,Other,NICHE,72,12,5.88,14.2,Healthy,On Track,[],On Track
Middle School Writing,99.0,1,119.0,-100.0,690.0,23100,False,3.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,3.0,1887.0,1331.0,40.0,39.7,72.8,down,-33.1,131.0,52.0,20.0,199.0,34.0,5.46666,9.55,24.0,26.279996,42.96103788726279,Middle School,NICHE,72,12,2.75,18.53,Healthy,On Track,['idle_pool'],On Track
College Physics,9.0,3,11.0,-70.0,44.0,332,False,19.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,7.0,1.0,0.0,0.0,2.0,4.0,5.0,7.0,,,,,,,5.0,1.0,456.0,373.0,57.0,57.1,82.2,down,-25.0,7.0,4.0,2.0,0.0,0.0,2.3291625,7.08333,18.325,30.356661,45.36619471679364,College,LOW,60,12,4.29,16.0,Healthy,On Track,['idle_pool'],On Track
College Algebra,6.0,2,7.0,-64.0,27.0,280,False,15.0,True,['Apr'],15.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,4.0,6.0,4.0,1.0,,,,,,,3.0,5.0,621.0,527.0,50.0,50.0,85.2,down,-35.2,6.0,3.0,0.0,60.0,8.0,1.174995,5.51666,14.00833,39.3,46.509828817938946,College,LOW,60,12,7.12,12.83,Healthy,On Track,['idle_pool'],On Track
PSAT,9.0,1,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,622.0,532.0,81.0,80.6,85.8,down,-5.1,31.0,25.0,6.0,56.0,23.0,0.0,0.9,15.28333,24.0,51.581672162173184,Test Prep,NICHE,72,12,26.67,15.28,Healthy,On Track,[],On Track
Financial Accounting,8.0,2,10.0,-71.0,40.0,350,False,16.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,,,,,,,4.0,4.0,208.0,162.0,30.0,30.0,80.3,down,-50.3,10.0,3.0,1.0,1.0,0.0,0.224995,0.5,3.616665,24.0,47.78036543937162,College,LOW,60,12,48.0,3.39,Healthy,On Track,['idle_pool'],On Track
Mandarin Chinese 1,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,96.0,67.0,67.0,66.7,69.9,down,-3.2,3.0,2.0,,,,0.16666,0.16666,4.716665,14.13333,47.20827449789818,Language,NICHE,72,12,84.8,4.55,Healthy,On Track,['idle_pool'],On Track
Drawing,16.0,1,19.0,-94.0,105.0,1600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,219.0,142.0,28.0,27.8,68.2,down,-40.4,18.0,5.0,4.0,5.0,3.0,0.1,0.35,0.43333,1.166664,39.88910868652958,Arts & Music,NICHE,72,12,3.33,0.33,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
SAT Writing and Language,9.0,1,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,10.0,2.0,483.0,408.0,82.0,81.8,84.6,flat,-2.8,22.0,18.0,4.0,23.0,11.0,3.4333325,6.499995,15.3874975,24.673327,47.12757200671,Test Prep,NICHE,72,12,3.8,11.95,Healthy,On Track,['idle_pool'],On Track
