Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P25_NAT_Hours,Median_NAT_Hours,P75_NAT_Hours,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Median_Goal,Tail_Ratio,IQR_Hours,Wait_State,Primary_Action,Stress_Flags,Problem_Type
Hebrew,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,18.0,11.0,0.0,0.0,61.1,down,-61.1,0.0,0.0,,,,5.36666,37.01666,54.7,169.399996,48.87550168674699,Language,NICHE,72,12,4.58,49.33,Crisis,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck', 'critical_wait']",On Track — High Wait
Electronics,1.0,1,1.0,43.0,-3.0,70,True,10.0,False,,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,0.0,1.0,41.0,35.0,0.0,0.0,85.4,down,-85.4,0.0,0.0,0.0,0.0,0.0,6.51666,6.51666,6.51666,6.51666,41.15355646940822,Other,LOW,60,12,1.0,0.0,Insufficient_Data,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Inorganic Chemistry,2.0,1,2.0,-43.0,6.0,175,False,8.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0,78.0,66.0,100.0,100.0,84.2,up,15.8,2.0,2.0,1.0,26.0,16.0,1.41666,1.41666,1.41666,1.41666,47.478728924659805,College,NICHE,72,12,1.0,0.0,Insufficient_Data,On Track,['idle_pool'],On Track
Architecture,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,33.0,25.0,75.0,75.0,75.9,flat,-0.9,4.0,3.0,,,,7.5,27.90833,29.25,32.229998,39.855490684931496,Other,NICHE,72,12,1.15,21.75,Crisis,On Track,['idle_pool'],On Track
CPCE,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,8.0,0.0,0.0,88.9,down,-88.9,0.0,0.0,0.0,0.0,0.0,0.124995,0.46666,13.89166,27.31666,52.88292218309859,Other,NICHE,72,12,58.54,13.77,Healthy,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Civil Procedure,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,27.0,20.0,100.0,100.0,73.1,up,26.9,1.0,1.0,,,,0.524995,0.71666,4.524995,6.809996,37.089830799220266,College,NICHE,72,12,9.5,4.0,Healthy,On Track,['idle_pool'],On Track
Painting,6.0,1,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,137.0,98.0,40.0,40.0,74.0,down,-34.0,10.0,4.0,3.0,1.0,1.0,1.35,1.35,1.35,1.35,39.1915141988555,Arts & Music,NICHE,72,12,1.0,0.0,Insufficient_Data,On Track,['idle_pool'],On Track
Managerial Economics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,44.0,37.0,0.0,0.0,86.0,down,-86.0,1.0,0.0,,,,6.83333,13.55,13.55,13.55,59.4228716080402,College,NICHE,72,12,1.0,6.72,Crisis,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Tagalog,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,22.0,14.0,0.0,0.0,63.6,down,-63.6,0.0,0.0,,,,4.241665,7.88333,11.524995,13.709994,37.2948938028169,Other,NICHE,72,12,1.74,7.28,Healthy,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
German 2,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,49.0,37.0,0.0,0.0,75.5,down,-75.5,0.0,0.0,,,,0.78333,0.78333,0.78333,0.78333,45.1822779089376,Language,NICHE,72,12,1.0,0.0,Insufficient_Data,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
