Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category,Tier
Business Analytics,3.0,2.0,4.0,-19.0,4.0,124,False,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,2.0,3.0,139.0,114.0,33.0,33.3,83.1,down,-49.8,3.0,1.0,Over-Supplied,College,LOW
PTCE,1.0,2.0,1.0,100.0,-7.0,50,True,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,9.0,8.0,89.0,,88.9,,,0.0,0.0,True Supply Problem,Professional/Cert,LOW
Filmmaking,2.0,2.0,2.0,7.0,-1.0,93,False,15.0,False,,15.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,,,,,,,,2.0,1.0,43.0,31.0,20.0,20.0,78.9,down,-58.9,5.0,1.0,Over-Supplied,Arts & Music,LOW
Mac Basic Computer Skills,5.0,2.0,6.0,-60.0,21.0,250,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,2.0,88.0,74.0,20.0,20.0,88.0,down,-68.0,5.0,1.0,Over-Supplied,Technology,LOW
Cost Accounting,2.0,3.0,2.0,57.0,-8.0,64,True,22.0,True,['Apr'],22.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,,,,,,,0.0,1.0,68.0,55.0,81.0,,80.9,,,0.0,0.0,True Supply Problem,College,LOW
PC Basic Computer Skills,5.0,2.0,6.0,-66.0,23.0,292,False,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,2.0,121.0,101.0,33.0,33.3,84.7,down,-51.4,3.0,1.0,Over-Supplied,Technology,LOW
Technical Writing,24.0,2.0,29.0,-92.0,154.0,1200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,295.0,237.0,44.0,44.4,81.5,down,-37.0,9.0,4.0,Over-Supplied,College,LOW
Music Recording,1.0,2.0,1.0,71.0,-5.0,58,True,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,2.0,45.0,30.0,67.0,,66.7,,,0.0,0.0,True Supply Problem,Arts & Music,LOW
Probability,2.0,2.0,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,295.0,253.0,0.0,0.0,86.3,down,-86.3,2.0,0.0,Under-Used,College,LOW
Linguistics,2.0,3.0,2.0,29.0,-4.0,78,True,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,0.0,1.0,163.0,122.0,75.0,,74.8,,,0.0,0.0,True Supply Problem,College,LOW
Structural Engineering,1.0,2.0,1.0,129.0,-9.0,44,True,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,,,,,,,,0.0,1.0,24.0,19.0,0.0,0.0,82.6,down,-82.6,1.0,0.0,Under-Used,College,LOW
Rhino,1.0,1.0,1.0,43.0,-3.0,70,True,10.0,False,,10.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,1.0,21.0,17.0,67.0,66.7,83.3,down,-16.7,3.0,2.0,True Supply Problem,Technology,LOW
College Level American History,2.0,3.0,2.0,43.0,-6.0,70,True,20.0,False,,20.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,,,,,,,,,1.0,89.0,69.0,78.0,,77.5,,,0.0,0.0,True Supply Problem,College,LOW
Clinical Psychology,3.0,2.0,4.0,-24.0,5.0,131,False,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,1.0,78.0,59.0,76.0,,75.6,,,0.0,0.0,On Track,College,LOW
Conversational Spanish,17.0,10.0,20.0,-42.0,50.0,172,False,69.0,True,['Apr'],47.0,1.0,0.0,2.0,5.0,10.0,14.0,15.0,23.0,5.0,2.0,4.0,9.0,12.0,13.0,23.0,,,,,,,16.0,5.0,523.0,390.0,33.0,33.3,76.6,down,-43.2,24.0,8.0,Over-Supplied,Language,MEDIUM
NCLEX,7.0,0.0,8.0,-98.0,48.0,4900,False,1.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,2.0,87.0,60.0,80.0,80.0,68.3,up,11.7,5.0,4.0,On Track,Professional/Cert,NICHE
Japanese,1.0,3.0,1.0,171.0,-12.0,37,True,19.0,False,,19.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,1.0,4.0,5.0,4.0,,,,,,,,1.0,2.0,66.0,45.0,0.0,0.0,70.3,down,-70.3,2.0,0.0,Under-Used,Language,LOW
Orton Gillingham,4.0,0.0,5.0,-96.0,27.0,2800,False,1.0,False,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,154.0,118.0,40.0,40.0,77.9,down,-37.9,5.0,2.0,Over-Supplied,Other,NICHE
Middle School Writing,99.0,0.0,119.0,-100.0,690.0,23100,False,3.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,3.0,1873.0,1324.0,39.0,39.4,73.0,down,-33.6,127.0,50.0,Over-Supplied,Middle School,NICHE
College Physics,9.0,3.0,11.0,-70.0,44.0,332,False,19.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,7.0,1.0,0.0,0.0,2.0,4.0,5.0,7.0,,,,,,,5.0,1.0,448.0,368.0,80.0,80.0,82.2,flat,-2.2,5.0,4.0,On Track,College,LOW
College Algebra,6.0,2.0,7.0,-64.0,27.0,280,False,15.0,True,['Apr'],15.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,4.0,6.0,4.0,1.0,,,,,,,3.0,5.0,617.0,527.0,50.0,50.0,85.8,down,-35.8,6.0,3.0,On Track,College,LOW
PSAT,9.0,1.0,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,608.0,521.0,79.0,78.6,86.0,down,-7.5,28.0,22.0,On Track,Test Prep,NICHE
Financial Accounting,8.0,2.0,10.0,-71.0,40.0,350,False,16.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,,,,,,,4.0,4.0,201.0,159.0,38.0,37.5,80.8,down,-43.3,8.0,3.0,Over-Supplied,College,LOW
Mandarin Chinese 1,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,93.0,67.0,100.0,100.0,71.4,up,28.6,2.0,2.0,On Track,Language,NICHE
Drawing,16.0,1.0,19.0,-94.0,105.0,1600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,216.0,142.0,28.0,27.8,69.2,down,-41.4,18.0,5.0,Over-Supplied,Arts & Music,NICHE
SAT Writing and Language,9.0,1.0,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,10.0,2.0,479.0,405.0,85.0,85.0,84.5,flat,0.5,20.0,17.0,On Track,Test Prep,NICHE
French 1,10.0,1.0,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,181.0,127.0,11.0,11.1,73.3,down,-62.1,9.0,1.0,Over-Supplied,Language,NICHE
ARRT - Radiography,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,15.0,11.0,0.0,0.0,78.6,down,-78.6,1.0,0.0,Over-Supplied,Professional/Cert,NICHE
NCLEX-RN,5.0,1.0,6.0,-80.0,28.0,500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,4.0,1.0,78.0,52.0,60.0,60.0,67.1,down,-7.1,5.0,3.0,On Track,Professional/Cert,NICHE
Conversational German,2.0,3.0,2.0,50.0,-7.0,67,True,21.0,False,,21.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,4.0,6.0,4.0,,,,,,,,0.0,2.0,53.0,37.0,70.0,,69.8,,,0.0,0.0,True Supply Problem,Language,LOW
NPTE,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,1.0,15.0,12.0,50.0,50.0,84.6,down,-34.6,2.0,1.0,On Track,Professional/Cert,NICHE
Java,10.0,1.0,12.0,-89.0,62.0,875,False,8.0,True,['Apr'],8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,284.0,236.0,50.0,50.0,84.3,down,-34.3,10.0,5.0,On Track,College,NICHE
Basic Computer Literacy,18.0,3.0,22.0,-83.0,104.0,573,False,22.0,True,['Apr'],13.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,10.0,0.0,0.0,0.0,1.0,5.0,6.0,10.0,,,,,,,,3.0,315.0,241.0,9.0,9.1,78.9,down,-69.9,11.0,1.0,Over-Supplied,Technology,LOW
Organic Chemistry 2,3.0,1.0,4.0,-62.0,13.0,262,False,8.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,0.0,1.0,187.0,155.0,83.0,,82.9,,,0.0,0.0,On Track,College,NICHE
Computer Programming,15.0,1.0,18.0,-93.0,98.0,1500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,421.0,325.0,36.0,36.4,79.4,down,-43.1,22.0,8.0,Over-Supplied,College,NICHE
Creative Writing,81.0,1.0,97.0,-99.0,560.0,8100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,991.0,709.0,35.0,34.8,73.3,down,-38.6,46.0,16.0,Over-Supplied,College,NICHE
College Computer Science,11.0,2.0,13.0,-86.0,66.0,700,False,11.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,,,,,,6.0,6.0,279.0,215.0,38.0,37.5,78.2,down,-40.7,8.0,3.0,Over-Supplied,College,LOW
Electrical Engineering,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,72.0,63.0,100.0,100.0,87.0,up,13.0,3.0,3.0,On Track,College,NICHE
Portuguese,1.0,1.0,1.0,29.0,-2.0,78,True,9.0,False,,9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,1.0,1.0,49.0,34.0,0.0,0.0,72.3,down,-72.3,2.0,0.0,Under-Used,Language,NICHE
General Chemistry 2,4.0,1.0,5.0,-68.0,19.0,311,False,9.0,True,['Apr'],9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,0.0,2.0,273.0,226.0,0.0,0.0,83.4,down,-83.4,2.0,0.0,Over-Supplied,College,NICHE
Differential Equations,5.0,2.0,6.0,-69.0,24.0,318,False,11.0,True,['Apr'],11.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,,,,,,1.0,2.0,194.0,161.0,100.0,100.0,82.9,up,17.1,1.0,1.0,On Track,College,LOW
Spanish 4,12.0,1.0,14.0,-92.0,77.0,1200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,503.0,395.0,25.0,25.0,79.0,down,-54.0,4.0,1.0,Over-Supplied,Language,NICHE
OTR,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,12.0,6.0,0.0,0.0,54.5,down,-54.5,1.0,0.0,Over-Supplied,Professional/Cert,NICHE
High School Level American History,11.0,1.0,13.0,-91.0,70.0,1100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,326.0,235.0,39.0,38.9,74.0,down,-35.1,18.0,7.0,Over-Supplied,High School,NICHE
American Sign Language,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,1.0,49.0,34.0,20.0,20.0,75.0,down,-55.0,5.0,1.0,Over-Supplied,Language,NICHE
Grade 11 Physics,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,207.0,167.0,81.0,,80.7,,,0.0,0.0,On Track,High School,NICHE
Latin 1,2.0,1.0,2.0,-57.0,8.0,233,False,6.0,False,,6.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,,,,,,,,1.0,1.0,53.0,40.0,33.0,33.3,78.0,down,-44.7,3.0,1.0,Over-Supplied,Language,NICHE
CPA FAR,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,43.0,38.0,88.0,,88.4,,,0.0,0.0,On Track,Professional/Cert,NICHE
ACT Reading,5.0,2.0,6.0,-66.0,23.0,292,False,12.0,True,['Apr'],12.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,4.0,3.0,343.0,296.0,86.0,85.7,86.3,flat,-0.6,7.0,6.0,On Track,Test Prep,LOW
Math 3,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,345.0,283.0,82.0,,82.0,,,0.0,0.0,On Track,High School,NICHE
CogAT,1.0,2.0,1.0,57.0,-4.0,64,True,11.0,True,['Apr'],11.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,0.0,1.0,128.0,101.0,79.0,,78.9,,,0.0,0.0,True Supply Problem,Test Prep,LOW
Middle School Social Studies,33.0,0.0,40.0,-100.0,230.0,23100,False,1.0,False,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,877.0,663.0,43.0,43.2,77.3,down,-34.1,44.0,19.0,Over-Supplied,Middle School,NICHE
ACT English,4.0,3.0,5.0,-36.0,10.0,156,False,18.0,True,['Apr'],17.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,,,,,,,2.0,2.0,412.0,351.0,56.0,55.6,85.9,down,-30.3,9.0,5.0,On Track,Test Prep,LOW
VTNE,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,5.0,5.0,100.0,,100.0,,,0.0,0.0,On Track,Professional/Cert,NICHE
French Immersion,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,51.0,35.0,0.0,0.0,70.0,down,-70.0,1.0,0.0,Over-Supplied,Language,NICHE
Guitar,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,97.0,76.0,0.0,0.0,80.0,down,-80.0,2.0,0.0,Over-Supplied,Arts & Music,NICHE
AP Psychology,10.0,1.0,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,200.0,157.0,44.0,44.4,80.1,down,-35.7,9.0,4.0,Over-Supplied,AP,NICHE
NCLEX-PN,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,28.0,19.0,50.0,50.0,69.2,down,-19.2,2.0,1.0,On Track,Professional/Cert,NICHE
Earth Science,16.0,1.0,19.0,-94.0,105.0,1600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,293.0,207.0,22.0,22.2,72.2,down,-50.0,9.0,2.0,Over-Supplied,High School,NICHE
Mandarin Chinese 2,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,79.0,52.0,33.0,33.3,67.1,down,-33.8,3.0,1.0,Over-Supplied,Language,NICHE
Microbiology,7.0,1.0,8.0,-86.0,42.0,700,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,290.0,239.0,75.0,75.0,82.5,down,-7.5,4.0,3.0,On Track,College,NICHE
Chemistry 2,3.0,2.0,4.0,-43.0,9.0,175,False,12.0,False,,12.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,,,,,,,,0.0,1.0,240.0,198.0,0.0,0.0,83.2,down,-83.2,2.0,0.0,Over-Supplied,College,LOW
COTA,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,5.0,3.0,60.0,,60.0,,,0.0,0.0,On Track,Other,NICHE
CPA AUD,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,38.0,36.0,95.0,,94.7,,,0.0,0.0,On Track,Professional/Cert,NICHE
Functions,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,153.0,138.0,0.0,0.0,90.8,down,-90.8,1.0,0.0,Over-Supplied,High School,NICHE
CFA - Level 1,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,17.0,15.0,88.0,,88.2,,,0.0,0.0,On Track,Professional/Cert,NICHE
CompTIA Security+,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,27.0,16.0,0.0,0.0,61.5,down,-61.5,1.0,0.0,Over-Supplied,Professional/Cert,NICHE
Thermodynamics,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,128.0,111.0,87.0,,86.7,,,0.0,0.0,On Track,College,NICHE
FAA,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,14.0,8.0,57.0,,57.1,,,0.0,0.0,On Track,Other,NICHE
Music Theory,10.0,1.0,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,197.0,128.0,0.0,0.0,67.0,down,-67.0,6.0,0.0,Over-Supplied,Arts & Music,NICHE
Business Statistics,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,142.0,120.0,50.0,50.0,85.5,down,-35.5,4.0,2.0,On Track,College,NICHE
Physical Chemistry,2.0,2.0,2.0,-21.0,3.0,127,False,11.0,True,['Apr'],11.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,0.0,1.0,81.0,70.0,86.0,,86.4,,,0.0,0.0,On Track,College,LOW
Math 1,5.0,1.0,6.0,-71.0,25.0,350,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,1.0,484.0,407.0,67.0,66.7,84.2,down,-17.5,3.0,2.0,On Track,High School,LOW
Elementary Social Studies,48.0,1.0,58.0,-98.0,329.0,4800,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1198.0,915.0,45.0,45.2,77.5,down,-32.3,42.0,19.0,Over-Supplied,Elementary,NICHE
Statistics Graduate Level,2.0,2.0,2.0,-14.0,2.0,117,False,12.0,True,['Apr'],12.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,,,,,,,2.0,1.0,122.0,104.0,33.0,33.3,86.6,down,-53.2,3.0,1.0,Over-Supplied,College,LOW
COMLEX,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,15.0,12.0,80.0,,80.0,,,0.0,0.0,On Track,Test Prep,NICHE
IB Physics,1.0,1.0,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,95.0,78.0,82.0,,82.1,,,0.0,0.0,On Track,IB,NICHE
AP European History,4.0,1.0,5.0,-64.0,18.0,280,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,1.0,99.0,82.0,100.0,100.0,82.7,up,17.3,1.0,1.0,On Track,AP,LOW
AP Physics 2,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,228.0,200.0,88.0,,87.7,,,0.0,0.0,On Track,AP,NICHE
PRAXIS Speech Language Pathology,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,7.0,78.0,,77.8,,,0.0,0.0,On Track,Professional/Cert,NICHE
Hindi,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,81.0,65.0,80.0,,80.2,,,0.0,0.0,On Track,Other,NICHE
Genetics,5.0,1.0,6.0,-80.0,28.0,500,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,99.0,83.0,60.0,60.0,85.1,down,-25.1,5.0,3.0,On Track,College,NICHE
SSAT- Upper Level,7.0,1.0,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,12.0,2.0,152.0,126.0,75.0,75.0,84.4,down,-9.4,24.0,18.0,On Track,Test Prep,NICHE
