Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,P90_NAT_Hours,Problem_Type,Category,Tier
Math 3,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,345.0,282.0,82.0,,81.7,,,0.0,0.0,54.043329,On Track,High School,NICHE
CogAT,1.0,2,1.0,57.0,-4.0,64,True,11.0,True,['Apr'],11.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,0.0,1.0,126.0,100.0,79.0,,79.4,,,0.0,0.0,4.598327,True Supply Problem,Test Prep,LOW
Middle School Social Studies,33.0,1,40.0,-100.0,230.0,23100,False,1.0,False,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,877.0,663.0,42.0,41.9,77.3,down,-35.5,43.0,18.0,25.76666,Under-Used,Middle School,NICHE
ACT English,4.0,3,5.0,-36.0,10.0,156,False,18.0,True,['Apr'],17.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,,,,,,,2.0,2.0,412.0,352.0,67.0,66.7,85.9,down,-19.2,9.0,6.0,24.0,On Track,Test Prep,LOW
VTNE,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,5.0,5.0,100.0,,100.0,,,0.0,0.0,8.143331,On Track,Professional/Cert,NICHE
French Immersion,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,50.0,35.0,70.0,,70.0,,,0.0,0.0,0.11666,On Track,Language,NICHE
Guitar,4.0,1,5.0,-75.0,21.0,400,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,98.0,77.0,0.0,0.0,80.2,down,-80.2,2.0,0.0,62.646664,Under-Used,Arts & Music,NICHE
AP Psychology,10.0,1,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,199.0,156.0,38.0,37.5,80.1,down,-42.6,8.0,3.0,13.88333,Over-Supplied,AP,NICHE
NCLEX-PN,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,28.0,19.0,50.0,50.0,69.2,down,-19.2,2.0,1.0,0.95,On Track,Professional/Cert,NICHE
Earth Science,16.0,1,19.0,-94.0,105.0,1600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,293.0,207.0,25.0,25.0,71.9,down,-46.9,8.0,2.0,29.11,Under-Used,High School,NICHE
Mandarin Chinese 2,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,80.0,53.0,33.0,33.3,67.5,down,-34.2,3.0,1.0,1.474998,Over-Supplied,Language,NICHE
Microbiology,7.0,1,8.0,-86.0,42.0,700,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,291.0,239.0,60.0,60.0,82.5,down,-22.5,5.0,3.0,24.186664,On Track,College,NICHE
Chemistry 2,3.0,2,4.0,-43.0,9.0,175,False,12.0,False,,12.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,,,,,,,,0.0,1.0,241.0,199.0,0.0,0.0,83.3,down,-83.3,2.0,0.0,18.46,Over-Supplied,College,LOW
COTA,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,5.0,3.0,60.0,,60.0,,,0.0,0.0,5.04,On Track,Other,NICHE
CPA AUD,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,38.0,36.0,95.0,,94.7,,,0.0,0.0,1.249995,On Track,Professional/Cert,NICHE
Functions,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,154.0,138.0,0.0,0.0,90.2,down,-90.2,1.0,0.0,37.923329,Under-Used,High School,NICHE
CFA - Level 1,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,18.0,15.0,0.0,0.0,88.2,down,-88.2,1.0,0.0,5.84,Over-Supplied,Professional/Cert,NICHE
CompTIA Security+,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,26.0,16.0,0.0,0.0,64.0,down,-64.0,1.0,0.0,,Over-Supplied,Professional/Cert,NICHE
Thermodynamics,3.0,1,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,129.0,112.0,87.0,,86.8,,,0.0,0.0,26.65666,On Track,College,NICHE
FAA,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,17.0,8.0,47.0,,47.1,,,0.0,0.0,48.08333,Under-Used,Other,NICHE
Music Theory,10.0,1,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,200.0,130.0,0.0,0.0,67.0,down,-67.0,6.0,0.0,24.01666,Under-Used,Arts & Music,NICHE
Business Statistics,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,142.0,120.0,50.0,50.0,85.5,down,-35.5,4.0,2.0,29.446662,On Track,College,NICHE
Physical Chemistry,2.0,2,2.0,-21.0,3.0,127,False,11.0,True,['Apr'],11.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,0.0,1.0,81.0,70.0,86.0,,86.4,,,0.0,0.0,52.57,On Track,College,LOW
Math 1,5.0,1,6.0,-71.0,25.0,350,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,1.0,489.0,408.0,67.0,66.7,83.5,down,-16.9,3.0,2.0,45.266665,On Track,High School,LOW
Elementary Social Studies,48.0,1,58.0,-98.0,329.0,4800,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1200.0,913.0,44.0,43.9,77.2,down,-33.3,41.0,18.0,22.033332,Over-Supplied,Elementary,NICHE
Statistics Graduate Level,2.0,2,2.0,-14.0,2.0,117,False,12.0,True,['Apr'],12.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,,,,,,,2.0,1.0,122.0,104.0,33.0,33.3,86.6,down,-53.2,3.0,1.0,47.926664,Under-Used,College,LOW
COMLEX,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,15.0,12.0,80.0,,80.0,,,0.0,0.0,,On Track,Test Prep,NICHE
IB Physics,1.0,1,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,95.0,78.0,82.0,,82.1,,,0.0,0.0,52.33333,On Track,IB,NICHE
AP European History,4.0,1,5.0,-64.0,18.0,280,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,1.0,101.0,84.0,100.0,100.0,83.0,up,17.0,1.0,1.0,21.78333,On Track,AP,LOW
AP Physics 2,3.0,1,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,229.0,201.0,88.0,,87.8,,,0.0,0.0,34.43666,On Track,AP,NICHE
PRAXIS Speech Language Pathology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,7.0,78.0,,77.8,,,0.0,0.0,21.409994,On Track,Professional/Cert,NICHE
Hindi,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,80.0,65.0,81.0,,81.2,,,0.0,0.0,45.041666,On Track,Other,NICHE
Genetics,5.0,1,6.0,-80.0,28.0,500,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,100.0,83.0,60.0,60.0,84.2,down,-24.2,5.0,3.0,21.123327,On Track,College,NICHE
SSAT- Upper Level,7.0,1,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,12.0,2.0,153.0,127.0,75.0,75.0,84.5,down,-9.5,24.0,18.0,24.0,On Track,Test Prep,NICHE
German 1,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,64.0,48.0,75.0,,75.0,,,0.0,0.0,44.08333,On Track,Language,NICHE
ISEE- Middle Level,6.0,1,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,147.0,121.0,71.0,71.4,84.1,down,-12.7,21.0,15.0,24.0,On Track,Test Prep,NICHE
PANCE,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,7.0,0.0,0.0,87.5,down,-87.5,1.0,0.0,0.03333,Over-Supplied,Test Prep,NICHE
Environmental Science,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,165.0,139.0,50.0,50.0,84.7,down,-34.7,2.0,1.0,53.323328,On Track,Other,NICHE
Blender,1.0,1,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,22.0,16.0,0.0,0.0,76.2,down,-76.2,1.0,0.0,96.286664,Under-Used,Other,NICHE
Polish,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,7.0,78.0,,77.8,,,0.0,0.0,76.53333,On Track,Language,NICHE
PMP,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,32.0,20.0,62.0,,62.5,,,0.0,0.0,,On Track,Professional/Cert,NICHE
ARDMS - Sonography Principals and Instruments (SPI),1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,10.0,8.0,80.0,,80.0,,,0.0,0.0,16.796666,On Track,Professional/Cert,NICHE
Data Analysis,4.0,1,5.0,-75.0,21.0,400,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,132.0,118.0,50.0,50.0,90.0,down,-40.0,2.0,1.0,100.63,On Track,College,NICHE
Computer Game Design,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,49.0,41.0,84.0,,83.7,,,0.0,0.0,21.18333,On Track,Technology,NICHE
Discrete Math,3.0,1,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,205.0,174.0,0.0,0.0,85.3,down,-85.3,1.0,0.0,67.93333,Under-Used,College,NICHE
Physical Science,3.0,1,4.0,-52.0,11.0,210,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,0.0,1.0,239.0,201.0,100.0,100.0,84.0,up,16.0,1.0,1.0,,On Track,High School,LOW
Data Structures,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,145.0,120.0,0.0,0.0,83.3,down,-83.3,1.0,0.0,6.283333,Over-Supplied,College,NICHE
Marketing,10.0,1,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,6.0,3.0,140.0,115.0,43.0,42.9,84.2,down,-41.4,7.0,3.0,31.664994,Under-Used,College,NICHE
Latin 2,2.0,1,2.0,-43.0,6.0,175,False,8.0,False,,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,1.0,47.0,34.0,67.0,66.7,72.7,down,-6.1,3.0,2.0,4.9,On Track,Language,NICHE
Pathophysiology,7.0,1,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,109.0,85.0,29.0,28.6,81.4,down,-52.8,7.0,2.0,24.0,Under-Used,College,NICHE
FE - Mechanical Engineering,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,8.0,4.0,50.0,,50.0,,,0.0,0.0,33.08833,On Track,Other,NICHE
Cell Biology,10.0,1,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,423.0,344.0,43.0,42.9,82.0,down,-39.1,7.0,3.0,8.503332,Over-Supplied,College,NICHE
Grade 12 Physics,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,176.0,146.0,83.0,,83.0,,,0.0,0.0,41.25,On Track,High School,NICHE
GED Math,5.0,1,6.0,-89.0,31.0,875,False,4.0,False,,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,1.0,399.0,330.0,75.0,75.0,82.9,down,-7.9,12.0,9.0,10.68333,On Track,Test Prep,NICHE
PRAXIS Core Math,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,53.0,45.0,0.0,0.0,86.5,down,-86.5,1.0,0.0,11.366662,Over-Supplied,Professional/Cert,NICHE
Ukrainian,1.0,2,1.0,71.0,-5.0,58,True,12.0,False,,12.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,,,,,,,,,1.0,10.0,9.0,90.0,,90.0,,,0.0,0.0,20.02666,True Supply Problem,Language,LOW
Autodesk Revit,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,36.0,29.0,100.0,100.0,79.4,up,20.6,2.0,2.0,164.31666,On Track,Technology,NICHE
High School Computer Science,9.0,1,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,261.0,212.0,38.0,37.5,82.6,down,-45.1,8.0,3.0,25.73333,Under-Used,High School,NICHE
ISEE- Upper Level,5.0,1,6.0,-80.0,28.0,500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,132.0,108.0,74.0,73.7,83.2,down,-9.5,19.0,14.0,19.399994,On Track,Test Prep,NICHE
Social Work,5.0,1,6.0,-80.0,28.0,500,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,6.0,2.0,102.0,79.0,14.0,14.3,82.1,down,-67.8,7.0,1.0,,Over-Supplied,College,NICHE
College Business,11.0,1,13.0,-91.0,70.0,1100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,216.0,174.0,56.0,55.6,81.6,down,-26.1,9.0,5.0,6.253329,On Track,College,NICHE
Machine Learning,5.0,1,6.0,-80.0,28.0,500,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,89.0,77.0,50.0,50.0,88.2,down,-38.2,4.0,2.0,72.216662,On Track,College,NICHE
AP Physics C: Electricity and Magnetism,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,110.0,96.0,87.0,,87.3,,,0.0,0.0,94.683327,On Track,AP,NICHE
Philosophy,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,110.0,81.0,60.0,60.0,74.3,down,-14.3,5.0,3.0,6.2,On Track,College,NICHE
Singing,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,88.0,70.0,80.0,,79.5,,,0.0,0.0,24.0,On Track,Arts & Music,NICHE
GRE Quantitative,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,135.0,120.0,89.0,,88.9,,,0.0,0.0,1.424997,On Track,Test Prep,NICHE
HESI,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,25.0,21.0,84.0,,84.0,,,0.0,0.0,65.569996,On Track,Other,NICHE
CPA REG,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,33.0,30.0,91.0,,90.9,,,0.0,0.0,29.663332,On Track,Professional/Cert,NICHE
Video Game Design,2.0,2,2.0,-21.0,3.0,127,False,11.0,False,,11.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,1.0,41.0,33.0,80.0,,80.5,,,0.0,0.0,47.596662,On Track,Technology,LOW
High School Economics,6.0,2,7.0,-67.0,28.0,300,False,14.0,False,,14.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,,1.0,275.0,220.0,57.0,57.1,80.6,down,-23.5,7.0,4.0,82.069998,On Track,High School,LOW
SQL,6.0,1,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,176.0,143.0,56.0,55.6,82.6,down,-27.1,9.0,5.0,40.03,On Track,College,NICHE
MAP,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,24.0,18.0,75.0,,75.0,,,0.0,0.0,1.43333,On Track,Test Prep,NICHE
Graphic Design,11.0,1,13.0,-91.0,70.0,1100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,4.0,3.0,124.0,88.0,38.0,37.5,73.3,down,-35.8,8.0,3.0,68.76666,Under-Used,Arts & Music,NICHE
TOEFL,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,66.0,53.0,80.0,,80.3,,,0.0,0.0,3.35,On Track,Other,NICHE
Contract Law,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,51.0,38.0,50.0,50.0,75.5,down,-25.5,2.0,1.0,3.503328,On Track,College,NICHE
Animation,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,37.0,27.0,73.0,,73.0,,,0.0,0.0,31.664994,On Track,Arts & Music,NICHE
Autodesk Fusion 360,1.0,1,1.0,43.0,-3.0,70,True,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,1.0,1.0,23.0,19.0,0.0,0.0,86.4,down,-86.4,1.0,0.0,288.506662,Under-Used,Technology,LOW
Finite Mathematics,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,142.0,120.0,100.0,100.0,84.4,up,15.6,1.0,1.0,39.149998,On Track,College,NICHE
IB French,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,38.0,29.0,100.0,100.0,75.7,up,24.3,1.0,1.0,3.28,On Track,IB,NICHE
Data Science,7.0,1,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,120.0,97.0,50.0,50.0,83.0,down,-33.0,8.0,4.0,24.699996,On Track,College,NICHE
Project Management/PMP,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,65.0,46.0,71.0,,70.8,,,0.0,0.0,24.81,On Track,Professional/Cert,NICHE
Microsoft Word,11.0,1,13.0,-87.0,67.0,770,False,10.0,False,,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,1.0,307.0,237.0,50.0,50.0,77.6,down,-27.6,4.0,2.0,42.076662,On Track,Technology,LOW
Sociology,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,183.0,150.0,100.0,100.0,81.9,up,18.1,1.0,1.0,49.91666,On Track,College,NICHE
