Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Primary_Action,Stress_Flags,Problem_Type
AP English Language and Composition,30.0,5,36.0,-83.0,175.0,600,False,35.0,True,['Apr'],35.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,,,,,,,,4.0,559.0,400.0,49.0,49.0,73.8,down,-24.8,51.0,25.0,8.0,168.0,22.0,22.305,44.55653617957307,AP,MEDIUM,48,On Track,['idle_pool'],On Track
Essay Editing,57.0,5,68.0,-91.0,364.0,1140,False,35.0,True,['Apr'],35.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,,,,,,,,4.0,1208.0,897.0,41.0,41.2,76.2,down,-35.1,68.0,28.0,10.0,166.0,24.0,22.2,41.44501616136035,Other,MEDIUM,48,On Track,['idle_pool'],On Track
AP Physics C: Mechanics,2.0,5,2.0,136.0,-19.0,42,True,33.0,True,['Apr'],33.0,4.0,4.0,3.0,4.0,5.0,6.0,7.0,4.0,3.0,5.0,3.0,6.0,6.0,6.0,4.0,,,,,,,1.0,4.0,148.0,124.0,0.0,0.0,83.8,down,-83.8,0.0,0.0,,,,65.716665,45.787519691660826,AP,MEDIUM,48,Recruit More,"['idle_pool', 'new_tutor_stuck', 'paper_supply']",True Supply Problem
Calculus 3,3.0,5,4.0,62.0,-13.0,62,True,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,4.0,,,,,,,1.0,3.0,262.0,224.0,100.0,100.0,85.4,up,14.6,1.0,1.0,0.0,0.0,0.0,23.269998,46.94278477840228,College,MEDIUM,48,Investigate — Capacity Available,['idle_pool'],Under-Used
AP Computer Science A,7.0,6,8.0,-20.0,10.0,126,False,39.0,True,['Apr'],39.0,4.0,4.0,3.0,4.0,6.0,8.0,10.0,4.0,4.0,3.0,4.0,8.0,8.0,8.0,4.0,,,,,,,,4.0,204.0,164.0,33.0,33.3,81.8,down,-48.5,6.0,2.0,0.0,6.0,1.0,35.486664,40.67575820593111,AP,MEDIUM,48,On Track,['idle_pool'],On Track
IB Mathematics: Analysis and Approaches,1.0,6,1.0,500.0,-35.0,17,True,42.0,True,['Apr'],42.0,4.0,4.0,5.0,5.0,7.0,8.0,9.0,4.0,4.0,6.0,4.0,8.0,8.0,8.0,4.0,,,,,,,0.0,1.0,138.0,115.0,0.0,0.0,83.3,down,-83.3,0.0,0.0,,,,38.449995,51.46965118597976,IB,MEDIUM,48,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
Adobe Illustrator,10.0,3,12.0,-69.0,48.0,318,False,22.0,True,['Apr'],25.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,,,,,,,,4.0,97.0,73.0,83.0,83.3,74.7,up,8.6,6.0,5.0,1.0,1.0,1.0,1.863328,35.29577527056277,Arts & Music,LOW,60,On Track,['idle_pool'],On Track
SAT Math,14.0,2,17.0,-85.0,83.0,653,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,15.0,4.0,735.0,615.0,76.0,75.9,84.0,down,-8.1,29.0,22.0,2.0,7.0,4.0,28.703328,46.11157556086797,Test Prep,LOW,60,On Track,['idle_pool'],On Track
Study Skills And Organization,17.0,4,20.0,-77.0,92.0,441,False,27.0,True,['Apr'],21.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,,,,,,,3.0,2.0,968.0,775.0,50.0,50.0,80.5,down,-30.5,14.0,7.0,2.0,9.0,4.0,40.401666,47.92394304517134,Other,LOW,60,On Track,['idle_pool'],On Track
Calculus 2,11.0,5,13.0,-57.0,44.0,233,False,33.0,True,['Apr'],31.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,,,,,,,5.0,1.0,508.0,424.0,57.0,57.1,83.8,down,-26.7,7.0,4.0,1.0,96.0,18.0,24.0,44.23982287062615,College,MEDIUM,48,On Track,['idle_pool'],On Track
Public Speaking,26.0,3,31.0,-89.0,162.0,910,False,20.0,True,['Apr'],14.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,,,,,,,,8.0,711.0,545.0,47.0,47.1,77.4,down,-30.3,17.0,8.0,2.0,3.0,0.0,24.013328,45.64656146145508,College,LOW,60,On Track,['idle_pool'],On Track
