Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Primary_Action,Stress_Flags,Problem_Type
Thermodynamics,3.0,1,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,130.0,113.0,0.0,0.0,86.9,down,-86.9,0.0,0.0,,,,26.65666,40.07605251080811,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
FAA,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,17.0,8.0,0.0,0.0,47.1,down,-47.1,0.0,0.0,,,,48.08333,44.29260450160772,Other,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Music Theory,10.0,1,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,200.0,130.0,0.0,0.0,67.0,down,-67.0,6.0,0.0,2.0,0.0,0.0,24.01666,36.92172175581132,Arts & Music,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Business Statistics,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,143.0,120.0,50.0,50.0,84.9,down,-34.9,4.0,2.0,0.0,138.0,23.0,29.446662,49.83401889271192,College,NICHE,72,On Track,['idle_pool'],On Track
Physical Chemistry,2.0,2,2.0,-21.0,3.0,127,False,11.0,True,['Apr'],11.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,0.0,1.0,81.0,70.0,0.0,0.0,86.4,down,-86.4,0.0,0.0,,,,52.57,45.76812459064758,College,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Math 1,5.0,1,6.0,-71.0,25.0,350,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,1.0,489.0,408.0,67.0,66.7,83.5,down,-16.9,3.0,2.0,0.0,0.0,0.0,45.266665,46.0956476627031,High School,LOW,60,On Track,['idle_pool'],On Track
Elementary Social Studies,48.0,1,58.0,-98.0,329.0,4800,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1205.0,916.0,42.0,41.9,77.3,down,-35.4,43.0,18.0,5.0,2.0,1.0,22.033332,43.99144398750384,Elementary,NICHE,72,On Track,['idle_pool'],On Track
Statistics Graduate Level,2.0,2,2.0,-14.0,2.0,117,False,12.0,True,['Apr'],12.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,,,,,,,2.0,1.0,122.0,104.0,33.0,33.3,86.6,down,-53.2,3.0,1.0,,,,47.926664,47.31004289850136,College,LOW,60,On Track,['idle_pool'],On Track
COMLEX,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,15.0,12.0,0.0,0.0,80.0,down,-80.0,0.0,0.0,,,,,46.06557336065573,Test Prep,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
IB Physics,1.0,1,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,95.0,78.0,0.0,0.0,82.1,down,-82.1,0.0,0.0,,,,52.33333,47.13783257989088,IB,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
AP European History,4.0,1,5.0,-64.0,18.0,280,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,1.0,102.0,85.0,100.0,100.0,83.2,up,16.8,1.0,1.0,0.0,1.0,1.0,21.78333,46.366195937566815,AP,LOW,60,On Track,['idle_pool'],On Track
AP Physics 2,3.0,1,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,231.0,203.0,0.0,0.0,87.9,down,-87.9,0.0,0.0,,,,34.43666,46.86446390432099,AP,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
PRAXIS Speech Language Pathology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,7.0,0.0,0.0,77.8,down,-77.8,0.0,0.0,,,,21.409994,38.52739691780822,Professional/Cert,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Hindi,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,81.0,65.0,0.0,0.0,80.2,down,-80.2,0.0,0.0,,,,45.041666,41.36242509068923,Other,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Genetics,5.0,1,6.0,-80.0,28.0,500,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,100.0,83.0,60.0,60.0,84.2,down,-24.2,5.0,3.0,2.0,106.0,29.0,21.123327,45.49867888601036,College,NICHE,72,On Track,['idle_pool'],On Track
SSAT- Upper Level,7.0,1,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,12.0,2.0,156.0,128.0,75.0,75.0,83.3,down,-8.3,24.0,18.0,2.0,6.0,4.0,24.0,55.141425322614765,Test Prep,NICHE,72,On Track,[],On Track
German 1,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,65.0,48.0,0.0,0.0,73.8,down,-73.8,0.0,0.0,,,,44.08333,47.89901235431235,Language,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
ISEE- Middle Level,6.0,1,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,150.0,123.0,71.0,71.4,83.7,down,-12.3,21.0,15.0,2.0,6.0,4.0,24.0,55.88813993241033,Test Prep,NICHE,72,On Track,[],On Track
PANCE,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,7.0,0.0,0.0,87.5,down,-87.5,1.0,0.0,0.0,11.0,8.0,0.03333,46.74948229813664,Test Prep,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Environmental Science,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,165.0,139.0,50.0,50.0,84.7,down,-34.7,2.0,1.0,1.0,0.0,0.0,53.323328,49.3173233196592,Other,NICHE,72,On Track,['idle_pool'],On Track
Blender,1.0,1,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,22.0,16.0,0.0,0.0,76.2,down,-76.2,1.0,0.0,,,,96.286664,26.145662847790508,Other,NICHE,72,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck']",On Track — High Wait
Polish,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,7.0,0.0,0.0,77.8,down,-77.8,0.0,0.0,,,,76.53333,34.12870563991323,Language,NICHE,72,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck']",On Track — High Wait
PMP,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,32.0,20.0,0.0,0.0,62.5,down,-62.5,0.0,0.0,,,,,36.99404742857142,Professional/Cert,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
ARDMS - Sonography Principals and Instruments (SPI),1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,10.0,8.0,0.0,0.0,80.0,down,-80.0,0.0,0.0,,,,16.796666,54.18478217391305,Professional/Cert,NICHE,72,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Data Analysis,4.0,1,5.0,-75.0,21.0,400,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,133.0,118.0,50.0,50.0,89.3,down,-39.3,2.0,1.0,0.0,10.0,5.0,100.63,42.94607156948071,College,NICHE,72,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Computer Game Design,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,49.0,41.0,0.0,0.0,83.7,down,-83.7,0.0,0.0,,,,21.18333,41.065705128205124,Technology,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Discrete Math,3.0,1,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,206.0,175.0,0.0,0.0,85.4,down,-85.4,1.0,0.0,0.0,0.0,0.0,67.93333,49.28491653094462,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Physical Science,3.0,1,4.0,-52.0,11.0,210,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,0.0,1.0,238.0,201.0,100.0,100.0,84.4,up,15.6,1.0,1.0,1.0,7.0,1.0,,46.49489688656651,High School,LOW,60,On Track,['idle_pool'],On Track
Data Structures,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,145.0,120.0,0.0,0.0,83.3,down,-83.3,1.0,0.0,,,,6.283333,37.39620993745656,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Marketing,10.0,1,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,6.0,3.0,141.0,115.0,38.0,37.5,84.2,down,-46.7,8.0,3.0,2.0,0.0,0.0,31.664994,42.139337024221454,College,NICHE,72,On Track,['idle_pool'],On Track
Latin 2,2.0,1,2.0,-43.0,6.0,175,False,8.0,False,,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,1.0,47.0,34.0,67.0,66.7,72.7,down,-6.1,3.0,2.0,0.0,1.0,1.0,4.9,44.02181379025598,Language,NICHE,72,On Track,['idle_pool'],On Track
Pathophysiology,7.0,1,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,110.0,85.0,29.0,28.6,80.6,down,-52.0,7.0,2.0,1.0,13.0,10.0,24.0,36.549585237350016,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
FE - Mechanical Engineering,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,8.0,4.0,0.0,0.0,50.0,down,-50.0,0.0,0.0,,,,33.08833,48.15258397212543,Other,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Cell Biology,10.0,1,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,423.0,343.0,43.0,42.9,81.7,down,-38.9,7.0,3.0,1.0,59.0,32.0,8.503332,40.70553137775418,College,NICHE,72,On Track,['idle_pool'],On Track
Grade 12 Physics,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,175.0,146.0,0.0,0.0,83.4,down,-83.4,0.0,0.0,0.0,0.0,0.0,41.25,44.62404279021343,High School,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
GED Math,5.0,1,6.0,-89.0,31.0,875,False,4.0,False,,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,1.0,402.0,331.0,75.0,75.0,82.6,down,-7.6,12.0,9.0,,,,10.68333,53.127656962667636,Test Prep,NICHE,72,On Track,[],On Track
PRAXIS Core Math,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,53.0,45.0,0.0,0.0,86.5,down,-86.5,1.0,0.0,,,,11.366662,49.2601394479385,Professional/Cert,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Ukrainian,1.0,2,1.0,71.0,-5.0,58,True,12.0,False,,12.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,,,,,,,,,1.0,10.0,9.0,0.0,0.0,90.0,down,-90.0,0.0,0.0,,,,20.02666,29.492844949494952,Language,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Autodesk Revit,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,36.0,29.0,100.0,100.0,79.4,up,20.6,2.0,2.0,,,,164.31666,26.32895534709193,Technology,NICHE,72,Investigate — Wait Times,"['idle_pool', 'critical_wait']",On Track — High Wait
High School Computer Science,9.0,1,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,263.0,213.0,38.0,37.5,82.4,down,-44.9,8.0,3.0,0.0,7.0,1.0,25.73333,40.527490561169635,High School,NICHE,72,On Track,['idle_pool'],On Track
ISEE- Upper Level,5.0,1,6.0,-80.0,28.0,500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,134.0,109.0,74.0,73.7,82.6,down,-8.9,19.0,14.0,2.0,6.0,4.0,19.399994,56.22258077945084,Test Prep,NICHE,72,On Track,[],On Track
Social Work,5.0,1,6.0,-80.0,28.0,500,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,6.0,2.0,102.0,79.0,14.0,14.3,82.1,down,-67.8,7.0,1.0,,,,,48.96277235668789,College,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
College Business,11.0,1,13.0,-91.0,70.0,1100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,216.0,174.0,56.0,55.6,81.6,down,-26.1,9.0,5.0,2.0,2.0,1.0,6.253329,44.4549976,College,NICHE,72,On Track,['idle_pool'],On Track
Machine Learning,5.0,1,6.0,-80.0,28.0,500,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,89.0,77.0,50.0,50.0,88.2,down,-38.2,4.0,2.0,1.0,10.0,5.0,72.216662,36.85319144800777,College,NICHE,72,Investigate — Wait Times,['idle_pool'],On Track — High Wait
AP Physics C: Electricity and Magnetism,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,111.0,97.0,0.0,0.0,87.4,down,-87.4,0.0,0.0,,,,94.683327,47.415131212424846,AP,NICHE,72,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck']",On Track — High Wait
Philosophy,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,110.0,81.0,60.0,60.0,74.3,down,-14.3,5.0,3.0,1.0,1.0,1.0,6.2,45.51485676194539,College,NICHE,72,On Track,['idle_pool'],On Track
Singing,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,88.0,70.0,0.0,0.0,79.5,down,-79.5,0.0,0.0,,,,24.0,38.6268236090776,Arts & Music,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
GRE Quantitative,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,134.0,119.0,0.0,0.0,88.8,down,-88.8,0.0,0.0,,,,1.424997,51.23336031969086,Test Prep,NICHE,72,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
HESI,1.0,1,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,25.0,21.0,0.0,0.0,84.0,down,-84.0,0.0,0.0,0.0,0.0,0.0,65.569996,46.28928665644172,Other,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
CPA REG,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,33.0,30.0,0.0,0.0,90.9,down,-90.9,0.0,0.0,0.0,1.0,0.0,29.663332,40.46105769911504,Professional/Cert,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Video Game Design,2.0,2,2.0,-21.0,3.0,127,False,11.0,False,,11.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,1.0,41.0,33.0,0.0,0.0,80.5,down,-80.5,0.0,0.0,,,,47.596662,44.04321619273302,Technology,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
High School Economics,6.0,2,7.0,-67.0,28.0,300,False,14.0,False,,14.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,,1.0,277.0,221.0,57.0,57.1,80.4,down,-23.2,7.0,4.0,,,,82.069998,48.01816567234848,High School,LOW,60,Investigate — Wait Times,['idle_pool'],On Track — High Wait
SQL,6.0,1,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,178.0,144.0,56.0,55.6,82.2,down,-26.7,9.0,5.0,2.0,10.0,5.0,40.03,37.36222821466525,College,NICHE,72,On Track,['idle_pool'],On Track
MAP,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,24.0,18.0,0.0,0.0,75.0,down,-75.0,0.0,0.0,,,,1.43333,51.73688006042296,Test Prep,NICHE,72,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Graphic Design,11.0,1,13.0,-91.0,70.0,1100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,4.0,3.0,124.0,88.0,38.0,37.5,73.3,down,-35.8,8.0,3.0,1.0,1.0,1.0,68.76666,42.00109286889742,Arts & Music,NICHE,72,On Track,['idle_pool'],On Track
TOEFL,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,66.0,53.0,0.0,0.0,80.3,down,-80.3,0.0,0.0,0.0,7.0,1.0,3.35,46.805052983293564,Other,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Contract Law,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,51.0,38.0,50.0,50.0,75.5,down,-25.5,2.0,1.0,0.0,2.0,1.0,3.503328,42.975698899587336,College,NICHE,72,On Track,['idle_pool'],On Track
Animation,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,38.0,28.0,0.0,0.0,73.7,down,-73.7,0.0,0.0,,,,31.664994,37.02871365688487,Arts & Music,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Autodesk Fusion 360,1.0,1,1.0,43.0,-3.0,70,True,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,1.0,1.0,23.0,19.0,0.0,0.0,86.4,down,-86.4,1.0,0.0,,,,288.506662,25.08377425044091,Technology,LOW,60,Recruit More,"['idle_pool', 'new_tutor_stuck', 'critical_wait', 'paper_supply']",True Supply Problem
Finite Mathematics,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,144.0,122.0,100.0,100.0,84.6,up,15.4,1.0,1.0,,,,39.149998,54.4905754895453,College,NICHE,72,On Track,[],On Track
IB French,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,38.0,29.0,100.0,100.0,75.7,up,24.3,1.0,1.0,,,,3.28,43.436447373737366,IB,NICHE,72,On Track,['idle_pool'],On Track
Data Science,7.0,1,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,121.0,97.0,50.0,50.0,82.3,down,-32.3,8.0,4.0,1.0,10.0,5.0,24.699996,39.30814007042253,College,NICHE,72,On Track,['idle_pool'],On Track
Project Management/PMP,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,65.0,46.0,0.0,0.0,70.8,down,-70.8,0.0,0.0,,,,24.81,35.68098333333333,Professional/Cert,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Microsoft Word,11.0,1,13.0,-87.0,67.0,770,False,10.0,False,,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,1.0,310.0,240.0,50.0,50.0,77.8,down,-27.8,4.0,2.0,0.0,2.0,1.0,42.076662,36.52645315970892,Technology,LOW,60,On Track,['idle_pool'],On Track
Sociology,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,183.0,150.0,100.0,100.0,81.9,up,18.1,1.0,1.0,,,,49.91666,49.1813949054864,College,NICHE,72,On Track,['idle_pool'],On Track
